Sample,Unique Reads,Duplicate Reads
undefined,13731551,6963866
undefined,13328863,7366554
undefined,13617250,6468717
undefined,13176686,6909281
undefined,15303238,6053206
undefined,14160868,7195576
undefined,14633261,5781071
undefined,13600397,6813935
undefined,13838855,5509733
undefined,12996583,6352005
undefined,14807834,6277219
undefined,13828625,7256428
undefined,15239262,6396297
undefined,14394586,7240973
undefined,15120437,6072508
undefined,14078204,7114741
