IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
133,85,112,95	149,138,152,154	117,98,104,118	161,159,152,142	78	39
19,9,16,16	167,136,144,146	16,14,12,17	168,152,157,166	78	39
123,82,106,89	6,2,4,7	106,95,98,107	10,0,2,1	78	39
120,79,102,85	6,2,4,7	104,87,95,105	10,0,2,1	78	39
6,3,6,6	3,3,4,6	3,3,3,4	2,8,3,2	78	39
121,79,103,88	1,1,2,2	106,87,95,107	5,4,7,0	78	39
6,4,5,6	101,113,108,105	4,5,6,16	110,70,87,102	78	39
1,0,2,2	3,12,1,7	3,2,0,0	3,5,8,4	42	39
1,1,0,0	0,0,0,0	0,0,0,0	0,1,0,0	78	39
0,0,0,1	0,0,0,0	0,0,0,0	0,1,0,0	78	39
8,8,8,12	0,0,1,0	10,9,6,5	0,0,0,0	78	39
51,36,28,47	4,8,5,9	29,34,29,32	4,1,4,1	78	39
0,0,0,0	0,0,2,0	0,1,1,1	0,1,0,0	78	39
98,40,65,60	4,1,3,5	59,47,68,70	5,1,10,2	78	39
112,115,111,125	119,85,106,100	129,122,128,151	110,113,110,103	58	39
8,11,5,4	7,4,13,10	11,6,4,10	5,5,3,4	78	39
151,139,136,157	9,5,5,7	197,156,221,209	6,9,9,4	43	39
19,35,44,23	54,53,52,44	22,36,30,24	47,38,44,46	78	39
9,7,8,13	39,31,22,22	9,6,15,6	21,29,36,38	78	39
155,117,131,136	43,24,33,27	132,141,152,166	54,45,46,41	67	39
68,53,60,58	43,24,33,27	53,52,67,81	54,45,46,41	78	39
102,103,130,104	0,0,0,0	123,101,95,83	0,0,0,1	78	39
49,78,69,56	7,2,8,10	71,50,59,75	1,8,3,3	78	39
5,15,9,5	1,0,2,1	6,4,4,5	1,1,2,5	78	39
1,5,3,3	24,26,13,18	4,3,0,4	18,17,19,21	78	39
9,9,5,7	16,5,16,12	6,17,12,10	10,17,12,13	70	39
59,45,46,66	2,1,1,1	49,52,55,66	0,0,1,3	78	39
61,49,56,69	1,0,0,1	37,47,56,66	1,0,2,0	78	39
127,85,115,125	34,42,34,36	93,82,94,91	41,36,25,37	48	39
8,6,7,10	3,5,3,5	9,3,4,7	0,4,2,0	47	39
45,44,45,32	34,40,37,32	28,28,17,22	22,32,13,20	47	39
88,150,132,84	46,70,52,41	78,75,85,99	56,46,35,49	47	39
19,12,20,12	4,7,8,3	11,9,18,13	4,3,3,6	47	39
12,6,13,10	3,5,8,6	12,2,4,12	8,4,14,6	76	39
9,15,6,9	320,257,260,271	3,8,3,4	231,207,228,262	52	39
372,384,403,373	6,3,10,5	456,391,409,489	4,1,9,6	78	39
2,1,4,4	5,4,6,2	6,2,3,0	4,6,2,4	61	39
2,6,2,3	171,176,186,150	12,4,4,3	189,177,184,238	74	39
71,55,62,62	143,174,123,112	64,78,58,61	122,156,103,142	60	39
76,87,70,63	56,75,67,63	59,41,34,51	34,40,36,44	54	39
6,0,4,2	43,36,40,35	3,6,1,5	51,39,55,52	74	39
0,0,0,2	12,10,6,8	1,0,1,0	5,5,5,3	42	39
135,145,123,136	1,3,3,2	89,80,86,93	2,0,1,6	78	39
5,6,1,3	58,46,68,63	1,4,3,3	94,63,43,67	78	39
2,2,0,0	1,0,0,0	1,0,1,1	0,0,0,0	78	39
100,99,134,100	0,0,1,0	90,86,54,81	0,0,0,0	78	39
1,2,0,7	25,25,24,25	0,7,2,2	23,23,8,13	78	39
2,1,3,0	25,25,24,25	0,1,1,1	23,23,8,13	78	39
2,0,3,1	1,1,0,7	0,2,2,0	0,6,1,1	78	39
31,29,35,27	35,48,41,50	24,33,29,18	26,36,33,38	78	39
109,156,174,157	8,13,10,17	117,122,98,124	12,14,7,11	78	39
0,2,0,0	5,2,6,1	1,0,0,0	4,3,3,3	43	39
229,186,161,203	6,9,4,5	223,175,214,250	3,7,7,4	78	39
34,32,32,30	21,26,22,19	36,15,33,29	17,19,21,22	67	39
1,3,9,7	0,0,2,0	4,2,3,9	0,0,0,0	78	39
16,24,17,11	2,2,3,1	18,15,17,13	0,4,4,0	42	39
21,35,20,10	124,147,104,143	21,17,18,16	139,105,112,136	78	39
7,13,6,1	124,147,104,143	3,6,5,3	139,105,112,136	78	39
5,5,4,7	9,16,14,9	5,5,12,9	16,3,14,8	65	39
0,2,1,0	0,2,0,0	0,1,0,0	0,1,0,3	51	39
9,15,13,9	43,63,66,55	27,2,10,9	62,45,47,71	78	39
41,42,31,28	3,6,7,5	12,7,8,14	3,0,0,1	47	39
1,0,0,0	15,0,1,3	2,0,1,2	2,3,3,0	78	39
26,30,33,24	108,98,99,108	32,20,21,27	117,79,99,80	78	39
18,23,29,22	1,0,1,1	23,15,17,24	1,2,0,3	63	39
16,19,19,16	109,114,124,103	29,7,11,16	167,131,143,137	59	39
26,42,48,33	69,82,67,72	32,25,33,25	89,98,75,92	78	39
79,99,87,73	3,5,6,6	113,80,79,97	12,2,6,10	78	39
135,164,139,132	3,5,6,6	187,171,141,178	12,2,6,10	78	39
52,32,30,52	1,3,1,2	38,34,42,30	1,0,1,1	43	39
1,3,2,1	0,0,0,1	3,1,1,0	0,0,0,0	43	39
12,29,21,22	114,146,137,146	20,21,20,19	100,110,115,122	43	39
16,19,11,12	0,0,0,0	15,15,19,27	0,0,1,3	78	39
40,69,62,32	2,2,2,0	43,26,21,35	0,1,1,1	78	39
18,32,14,24	78,93,88,80	15,19,12,23	122,71,73,106	45	39
213,179,174,213	2,1,0,1	222,195,222,208	2,4,4,5	78	39
1,0,2,0	0,0,0,0	0,2,0,0	1,0,0,0	78	39
3,1,2,1	0,0,0,0	2,5,3,0	1,0,0,0	78	39
145,170,125,142	4,4,5,4	182,136,174,143	3,3,5,2	78	39
3,3,6,3	3,5,1,1	7,1,9,9	5,0,2,2	58	39
51,67,49,60	2,4,2,1	48,67,53,54	0,0,0,3	43	39
25,34,28,38	1,2,0,0	18,26,32,27	1,1,2,0	61	39
1,1,2,2	10,7,2,6	1,1,0,2	3,5,8,1	78	39
1,0,1,0	26,25,14,24	0,0,0,1	16,18,16,15	78	39
1,0,0,0	0,0,0,0	0,0,3,0	0,0,1,0	78	39
1,9,3,2	3,6,1,5	1,9,9,2	3,3,6,8	60	39
2,9,3,2	19,29,15,24	2,9,8,3	23,25,36,18	60	39
1,10,3,2	1,2,3,1	1,7,8,2	4,1,0,0	60	39
1,0,5,1	36,56,47,33	1,3,1,0	29,31,22,27	51	39
0,2,0,0	0,0,0,0	0,0,0,0	0,0,1,0	78	39
0,4,0,0	51,59,56,55	1,0,2,0	51,29,47,48	78	39
59,52,58,60	14,18,6,21	45,45,37,40	12,12,3,11	51	39
7,5,7,2	1,0,1,3	5,5,3,4	1,0,1,3	78	39
3,1,2,1	154,147,129,148	1,5,1,4	146,120,131,158	69	39
36,33,40,26	101,57,69,99	40,34,32,41	89,90,126,103	78	39
1,0,1,0	65,51,64,56	1,1,1,0	88,58,87,74	44	39
4,14,5,4	2,6,12,11	5,4,3,6	5,6,6,3	78	39
53,40,43,49	3,6,6,7	50,46,26,32	6,4,0,6	78	39
4,14,4,5	5,2,3,3	4,2,2,6	5,0,3,2	78	39
1,1,3,3	16,10,15,12	2,0,5,5	13,15,22,15	54	39
17,12,11,21	1,6,4,3	13,11,16,24	2,2,1,4	53	39
9,8,3,17	1,0,0,0	5,14,16,14	1,0,0,0	54	39
44,39,47,34	3,3,1,3	44,30,35,39	3,2,2,7	73	39
49,50,44,37	65,56,60,56	52,42,38,33	67,64,62,85	42	39
1,1,2,0	5,1,0,4	1,0,0,0	1,0,0,1	78	39
114,121,99,105	5,2,1,3	115,112,123,117	2,4,0,1	78	39
10,21,19,14	33,28,36,21	13,3,14,17	34,33,34,25	78	39
1,1,1,1	439,417,423,426	0,0,0,0	329,355,456,429	69	39
13,14,11,17	126,85,103,88	29,11,19,9	122,123,112,92	78	39
0,0,0,0	0,1,1,0	1,0,0,0	5,2,0,0	53	39
