IncLevel1	IncLevel2	IncLevelDifference
0.07,0.019,0.13,0.0	NA,NA,0.0,NA	0.055
0.609,0.62,0.718,1.0	NA,NA,0.59,NA	0.147
0.306,0.191,0.308,1.0	NA,NA,0.296,NA	0.155
1.0,1.0,0.96,0.95	0.967,1.0,1.0,1.0	-0.014
0.84,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.04
0.0,0.045,0.0,0.062	0.067,0.057,0.071,0.056	-0.036
0.396,0.475,0.209,0.529	0.436,0.412,0.348,0.44	-0.007
0.864,0.838,0.3,0.758	0.744,0.833,0.556,0.633	-0.002
0.556,0.6,0.358,0.66	0.621,0.756,0.474,0.576	-0.063
0.905,0.893,0.44,0.826	0.828,0.917,0.66,0.711	-0.013
0.872,0.833,0.472,0.724	0.756,0.818,0.619,0.614	0.024
0.109,0.03,0.078,0.079	0.153,0.098,0.156,0.069	-0.045
NA,0.448,0.0,NA	NA,0.0,0.619,0.0	0.018
NA,NA,1.0,0.0	NA,0.0,0.0,0.0	0.5
1.0,1.0,1.0,1.0	0.923,0.941,0.881,1.0	0.064
0.978,0.958,0.981,0.991	0.975,0.976,0.93,0.972	0.014
1.0,1.0,0.8,1.0	0.913,0.538,0.765,1.0	0.146
1.0,0.8,0.786,0.833	0.5,0.625,0.455,1.0	0.21
0.333,0.0,0.0,NA	NA,0.0,1.0,0.143	-0.27
1.0,1.0,0.826,0.895	1.0,1.0,0.7,1.0	0.005
1.0,1.0,0.943,1.0	0.938,1.0,1.0,1.0	0.001
0.667,0.889,0.487,0.571	0.806,0.778,0.636,0.926	-0.133
0.048,0.034,0.007,0.0	0.014,0.035,0.033,0.021	-0.003
0.765,1.0,0.929,1.0	0.81,0.8,1.0,1.0	0.021
0.0,0.0,0.085,0.162	0.154,0.103,0.207,0.156	-0.093
NA,0.0,NA,NA	1.0,1.0,NA,NA	-1.0
1.0,1.0,1.0,0.467	0.8,1.0,1.0,0.333	0.084
0.647,0.538,0.714,0.727	0.647,1.0,0.818,0.846	-0.171
0.292,0.22,0.253,0.233	0.233,0.279,0.315,0.299	-0.032
0.966,1.0,1.0,1.0	0.914,1.0,1.0,1.0	0.013
1.0,1.0,NA,0.8	NA,NA,1.0,1.0	-0.067
0.2,1.0,NA,1.0	0.0,0.0,0.333,1.0	0.4
0.07,0.367,0.106,0.346	0.121,0.217,0.0,0.0	0.138
0.083,0.13,0.176,0.45	0.0,0.4,0.8,0.375	-0.184
0.5,0.176,0.6,0.7	0.0,0.714,1.0,1.0	-0.185
0.524,0.475,0.289,0.512	0.567,0.415,0.655,0.449	-0.071
0.108,0.216,0.176,0.127	0.112,0.229,0.11,0.236	-0.015
0.01,0.005,0.005,0.022	0.0,0.042,0.021,0.007	-0.007
0.07,0.184,0.0,0.059	0.034,0.025,0.053,0.207	-0.002
0.699,0.492,0.576,0.5	0.636,0.625,0.424,0.672	-0.023
0.8,1.0,1.0,1.0	1.0,0.714,1.0,0.714	0.093
0.0,0.054,0.0,0.0	0.0,0.0,0.0,0.0	0.013
0.2,0.0,0.0,0.0	0.429,NA,0.5,0.0	-0.26
0.462,0.458,0.431,0.444	0.346,0.486,0.445,0.367	0.038
0.444,0.45,0.405,0.341	0.342,0.425,0.41,0.348	0.029
1.0,0.98,0.978,1.0	0.909,1.0,1.0,0.971	0.02
0.192,0.227,0.102,0.28	0.061,0.161,0.235,0.016	0.082
0.028,0.109,0.062,0.0	0.046,0.089,0.038,0.022	0.001
0.127,0.019,0.048,0.176	0.049,0.091,0.094,0.081	0.014
0.089,0.046,0.036,0.057	0.074,0.043,0.103,0.045	-0.009
0.018,0.005,0.006,0.0	0.0,0.0,0.007,0.0	0.005
0.829,0.9,0.926,0.891	0.865,0.864,0.933,0.811	0.018
0.032,0.046,0.019,0.031	0.022,0.015,0.043,0.026	0.006
0.6,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.1
0.1,0.045,0.168,0.134	0.105,0.034,0.075,0.19	0.011
0.819,0.855,0.79,0.756	0.736,0.767,0.818,0.839	0.015
1.0,0.897,0.975,0.91	0.902,0.949,0.9,0.944	0.022
0.0,0.116,0.0,0.0	0.0,0.0,0.0,0.034	0.021
0.233,0.774,0.477,0.164	0.204,0.186,0.281,0.255	0.18
