IncLevel1	IncLevel2	IncLevelDifference
0.29,0.282,0.313,0.328	0.375,0.254,0.321,0.346	-0.021
0.643,0.645,0.668,0.665	0.654,0.662,0.673,0.617	0.004
0.137,0.129,0.214,0.222	0.172,0.161,0.103,0.18	0.022
0.405,0.194,0.429,0.265	0.417,0.242,0.205,0.437	-0.002
0.403,0.359,0.402,0.381	0.362,0.402,0.308,0.331	0.036
0.59,0.545,0.635,0.484	0.542,0.55,0.443,0.442	0.069
0.643,0.495,0.631,0.58	0.519,0.57,0.555,0.477	0.057
0.0,0.0,0.0,0.278	0.224,0.0,0.0,0.0	0.014
0.0,0.0,0.0,0.401	1.0,0.0,0.0,0.0	-0.15
0.562,0.509,0.557,0.53	0.486,0.485,0.509,0.521	0.039
0.0,0.0,0.005,0.0	0.005,0.0,0.006,0.0	-0.001
0.01,0.0,0.003,0.003	0.012,0.008,0.021,0.004	-0.007
0.0,0.0,0.007,0.0	0.025,0.0,0.02,0.0	-0.009
0.069,0.077,0.071,0.094	0.094,0.117,0.111,0.068	-0.02
0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.018	-0.004
0.0,0.0,0.399,0.0	0.46,0.0,0.299,0.0	-0.09
0.441,0.361,0.507,0.529	0.519,0.435,0.516,0.478	-0.027
0.582,0.455,0.522,0.556	0.408,0.233,0.354,0.496	0.156
0.317,0.222,0.354,0.289	0.319,0.225,0.306,0.233	0.025
0.325,0.181,0.356,0.228	0.256,0.209,0.281,0.216	0.032
0.514,0.523,0.46,0.491	0.372,0.435,0.389,0.36	0.108
0.276,0.294,0.143,0.138	0.143,0.14,0.16,0.32	0.022
0.148,0.156,0.174,0.031	0.301,0.178,0.145,0.056	-0.043
0.29,0.172,0.359,0.314	0.339,0.317,0.332,0.216	-0.017
0.154,0.132,0.13,0.321	0.256,0.213,0.206,0.22	-0.039
0.312,0.4,0.31,0.2	0.373,0.302,0.449,0.409	-0.078
0.408,0.173,0.247,0.433	0.481,0.466,0.368,0.368	-0.105
0.524,0.445,0.396,0.321	0.577,0.55,0.593,0.501	-0.134
0.493,0.513,0.472,0.484	0.43,0.452,0.408,0.396	0.069
0.543,0.686,0.525,0.585	0.552,0.627,0.575,0.519	0.016
0.504,0.493,0.444,0.424	0.445,0.435,0.411,0.423	0.038
0.467,0.551,0.55,0.626	0.542,0.517,0.461,0.432	0.06
0.587,0.598,0.684,0.773	0.683,0.616,0.658,0.696	-0.003
0.52,0.715,0.533,0.609	0.485,0.399,0.817,0.507	0.042
0.683,0.212,0.327,0.618	0.403,0.574,0.708,1.0	-0.211
0.499,0.426,0.5,0.489	0.543,0.497,0.461,0.509	-0.024
0.252,0.0,0.0,NA	NA,0.0,1.0,NA	-0.416
0.193,0.065,0.174,0.254	0.094,0.223,0.217,0.236	-0.021
0.031,0.042,0.042,0.05	0.083,0.078,0.043,0.032	-0.018
0.192,0.182,0.212,0.184	0.225,0.156,0.203,0.131	0.014
0.504,0.61,0.568,0.584	0.595,0.533,0.493,0.549	0.024
0.434,0.401,0.407,0.469	0.409,0.391,0.41,0.399	0.025
0.052,0.048,0.076,0.045	0.051,0.046,0.105,0.053	-0.009
0.108,0.147,0.159,0.126	0.15,0.146,0.155,0.165	-0.019
0.096,0.113,0.164,0.127	0.14,0.134,0.096,0.155	-0.006
0.089,0.115,0.152,0.114	0.121,0.142,0.09,0.129	-0.003
0.221,0.198,0.313,0.219	0.21,0.267,0.165,0.235	0.018
0.206,0.198,0.292,0.226	0.21,0.288,0.152,0.225	0.012
0.293,0.281,0.396,0.292	0.286,0.364,0.223,0.305	0.021
0.275,0.281,0.373,0.3	0.287,0.39,0.207,0.294	0.013
0.528,0.485,0.429,0.468	0.47,0.391,0.447,0.422	0.045
0.521,0.511,0.42,0.479	0.466,0.474,0.396,0.515	0.02
0.465,0.433,0.471,0.528	0.424,0.429,0.418,0.483	0.036
0.416,0.415,0.473,0.444	0.428,0.505,0.475,0.419	-0.02
0.589,0.563,0.528,0.524	0.556,0.489,0.526,0.541	0.023
0.469,0.46,0.461,0.502	0.473,0.501,0.406,0.417	0.024
1.0,NA,NA,NA	NA,0.0,NA,NA	1.0
0.39,0.484,0.492,0.451	0.401,0.428,0.436,0.491	0.015
0.475,0.473,0.46,0.399	0.431,0.502,0.401,0.444	0.007
0.403,0.55,0.445,0.521	0.457,0.392,0.519,0.523	0.007
0.006,0.0,0.007,0.007	0.01,0.0,0.0,0.0	0.003
0.534,0.5,0.447,0.506	0.5,0.509,0.269,0.587	0.031
0.429,0.398,0.412,0.434	0.366,0.407,0.433,0.398	0.017
0.393,0.383,0.414,0.39	0.359,0.456,0.39,0.361	0.004
0.122,0.054,0.062,0.088	0.197,0.175,0.188,0.114	-0.087
1.0,0.958,1.0,1.0	0.985,0.993,1.0,0.957	0.006
1.0,0.932,1.0,1.0	0.982,0.984,1.0,0.945	0.005
0.436,0.375,0.397,0.45	0.458,0.32,0.401,0.433	0.011
0.913,0.907,0.923,0.853	0.889,0.947,0.941,0.863	-0.011
0.812,0.783,0.748,0.791	0.847,0.775,0.769,0.766	-0.006
0.247,0.194,0.108,0.356	0.264,0.376,0.246,0.298	-0.07
0.639,0.591,0.797,0.785	0.658,0.799,0.6,0.645	0.028
0.577,0.636,0.645,0.638	0.628,0.586,0.609,0.485	0.047
0.468,0.483,0.497,0.5	0.436,0.465,0.473,0.405	0.042
0.124,0.079,0.099,0.067	0.079,0.114,0.091,0.048	0.009
0.398,0.399,0.379,0.394	0.339,0.364,0.343,0.43	0.024
0.622,0.43,0.716,0.516	0.34,0.478,0.595,0.389	0.12
0.911,1.0,1.0,1.0	1.0,0.873,1.0,1.0	0.009
0.805,0.801,0.647,0.752	0.445,0.647,0.574,0.435	0.226
0.286,0.0,0.0,0.0	0.0,0.211,0.0,0.0	0.019
0.0,0.0,0.0,0.0	0.0,0.243,0.0,0.0	-0.061
0.0,0.0,0.0,0.0	0.0,0.366,0.0,0.0	-0.091
0.138,0.445,0.0,0.186	0.0,0.0,0.286,0.151	0.083
0.127,0.286,0.0,0.391	0.0,0.0,0.286,0.0	0.13
0.278,1.0,0.0,0.434	0.0,0.0,0.697,0.0	0.254
0.557,0.642,0.31,0.418	0.618,0.642,0.834,0.716	-0.221
0.725,1.0,0.235,0.545	0.519,0.626,0.852,0.782	-0.069
0.035,0.009,0.03,0.017	0.037,0.019,0.007,0.059	-0.008
0.434,0.438,0.49,0.422	0.445,0.393,0.405,0.404	0.034
0.547,0.558,0.651,0.673	0.53,0.544,0.503,0.542	0.078
0.307,0.306,0.273,0.29	0.448,0.453,0.376,0.348	-0.112
0.299,0.27,0.33,0.353	0.423,0.458,0.371,0.344	-0.086
0.0,0.051,0.0,0.0	0.039,0.0,0.0,0.0	0.003
0.0,0.08,0.0,0.0	0.032,0.0,0.0,0.0	0.012
0.439,0.46,0.41,0.446	0.437,0.392,0.433,0.422	0.018
0.521,0.55,0.61,0.529	0.508,0.408,0.442,0.313	0.135
0.445,0.506,0.517,0.486	0.535,0.642,0.518,0.458	-0.05
0.741,0.575,0.523,0.532	0.523,0.606,0.526,0.542	0.043
0.0,0.0,0.301,0.0	0.301,0.0,0.564,0.0	-0.141
0.516,0.614,0.584,0.633	0.602,0.507,0.588,0.657	-0.002
0.506,0.426,0.423,0.456	0.427,0.377,0.432,0.428	0.037
0.146,0.492,0.492,0.693	0.492,0.531,0.293,0.708	-0.05
0.0,0.019,0.041,0.01	0.03,0.013,0.01,0.011	0.001
