ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
51482	393,408,419,433	2,0,1,3	413,380,357,409	1,0,1,3	298	149
51483	73,96,79,69	0,0,0,0	62,62,95,87	2,0,0,0	203	149
51484	360,385,393,346	0,0,2,2	425,363,339,401	1,1,3,3	242	149
51485	3,0,2,2	0,0,0,0	1,1,3,4	0,0,1,0	210	149
51486	30,44,28,32	0,0,0,0	33,26,33,34	2,0,0,0	203	149
51487	226,247,277,243	16,10,6,17	280,206,236,250	20,7,12,27	203	149
51488	150,188,177,160	8,0,6,5	188,148,168,199	4,2,1,5	203	149
51489	129,112,107,120	8,0,6,5	154,99,104,146	4,2,1,5	230	149
51490	246,251,281,262	58,91,81,77	298,225,237,258	71,75,76,88	230	149
51491	0,0,1,0	0,0,1,0	4,0,4,1	0,0,0,0	282	149
51492	154,151,170,163	0,0,0,0	171,125,165,174	0,1,0,0	282	149
51493	66,67,77,54	1,0,0,0	74,83,73,62	0,1,2,0	189	149
51494	257,274,314,275	16,12,11,11	311,319,272,315	12,3,10,9	189	149
51495	1,0,0,0	16,12,11,11	0,1,2,0	12,3,10,9	192	149
51496	0,0,0,0	193,210,239,224	0,2,0,0	237,239,201,255	192	149
51497	52,39,37,51	1,1,0,0	62,50,55,65	2,0,0,0	214	149
51498	63,68,60,61	0,0,1,0	67,63,66,63	4,0,4,1	214	149
51499	32,22,35,31	0,0,1,0	30,30,26,24	4,0,4,1	202	149
51500	108,99,139,134	142,146,119,115	154,140,127,143	134,145,119,149	202	149
51501	69,71,108,93	1,9,1,2	74,63,84,67	0,0,1,0	285	149
51503	66,85,99,106	0,0,0,0	101,72,105,86	0,2,1,0	298	149
51504	47,39,66,52	0,0,0,0	52,29,49,52	0,0,2,0	298	149
51505	26,53,47,58	0,0,0,0	52,47,64,45	0,2,1,0	298	149
51506	7,7,14,4	0,0,0,0	3,4,8,11	0,0,2,0	298	149
51507	14,14,13,9	0,0,0,0	13,19,16,13	0,0,2,0	190	149
51508	39,64,54,66	7,4,11,3	65,63,77,58	3,3,6,11	190	149
51509	62,76,82,71	0,0,0,0	77,64,99,73	2,0,0,0	221	149
51510	72,50,55,47	0,1,0,0	55,40,51,54	0,0,0,0	298	149
51511	43,26,46,52	3,1,8,4	45,39,41,39	6,1,2,2	226	149
51512	7,5,7,10	3,1,8,4	3,5,2,8	6,1,2,2	196	149
51513	75,79,85,84	1,4,1,2	94,110,78,106	7,1,3,2	265	149
51514	11,10,14,11	0,0,1,0	10,1,11,8	0,0,0,1	298	149
51515	436,401,371,403	0,0,0,0	486,480,510,506	1,0,0,0	240	149
51516	381,357,358,349	1,0,1,2	398,393,452,467	2,0,1,2	250	149
51517	34,49,31,51	0,0,0,0	46,61,64,52	2,0,1,0	204	149
51518	252,290,241,260	0,0,0,0	247,246,260,291	0,0,1,3	280	149
51519	245,226,215,275	3,0,0,0	202,197,180,194	1,0,0,0	298	149
51520	54,39,37,42	104,85,76,112	71,48,49,47	72,75,72,69	298	149
51521	1,0,0,0	2,1,1,2	0,0,0,0	1,1,1,1	240	149
51522	1,0,0,0	4,2,2,3	0,0,0,0	1,1,1,0	240	149
51523	6,1,2,5	7,5,2,8	2,3,2,2	8,5,8,4	247	149
51524	4,0,1,3	7,5,2,8	1,4,1,1	8,5,8,4	229	149
51525	6,2,3,6	7,5,2,8	2,3,2,0	8,5,8,4	202	149
51526	41,39,26,33	1,0,0,0	51,51,40,40	0,0,0,0	267	149
51527	91,75,66,63	0,0,0,0	90,66,73,76	1,0,0,0	298	149
51528	47,45,40,27	0,0,0,0	56,37,54,35	1,0,0,0	298	149
51529	47,43,42,27	0,0,0,0	54,38,55,42	1,0,0,0	298	149
51530	23,35,25,21	1,0,1,0	31,36,35,39	1,0,0,0	280	149
51531	60,66,73,50	0,0,1,0	66,80,76,69	0,0,1,0	298	149
51532	65,71,72,54	0,1,1,0	56,58,46,91	1,1,1,0	281	149
51533	40,40,46,30	0,1,1,4	39,40,18,42	0,0,1,3	298	149
51535	4,18,5,12	0,0,0,0	12,14,7,13	1,0,0,1	233	149
51536	25,24,29,32	0,0,1,1	38,21,20,20	1,0,0,0	297	149
51537	50,41,36,36	1,0,0,0	42,44,26,26	0,0,2,0	205	149
51538	61,56,51,40	4,0,0,3	51,45,61,49	0,0,0,0	237	149
51539	45,23,20,28	0,0,0,0	24,27,26,27	0,0,1,0	242	149
51540	72,56,44,48	0,1,0,0	57,60,62,52	0,0,0,0	201	149
51542	160,153,175,166	0,0,0,0	195,158,216,203	0,0,1,0	272	149
51543	119,122,145,137	1,1,0,0	151,115,168,137	0,0,0,1	281	149
51544	57,52,62,69	1,1,0,0	62,45,74,55	0,0,0,1	298	149
51545	57,58,67,55	3,1,0,0	63,55,50,59	0,0,1,0	298	149
51546	126,126,120,122	3,1,0,0	130,109,82,122	0,0,1,0	298	149
51547	110,126,119,119	0,0,0,0	111,112,111,102	1,0,0,1	298	149
51548	99,103,59,76	0,0,1,0	66,65,60,66	0,0,0,0	298	149
51549	56,64,31,40	0,0,1,0	32,30,31,36	0,0,0,0	298	149
51550	59,38,52,45	0,0,1,0	55,39,44,38	0,0,0,0	239	149
51551	123,125,141,126	53,64,29,40	129,115,124,105	30,30,29,32	239	149
51552	149,165,161,147	0,0,0,1	205,170,187,183	3,0,0,0	203	149
51553	254,234,244,238	1,0,1,0	300,244,236,258	2,1,2,0	287	149
