ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
43479	213,219,194,202	0,0,0,1	202,195,177,216	0,0,0,0	332	149
43480	65,69,67,52	0,2,0,1	62,55,68,55	0,0,0,0	252	149
43481	1,1,1,0	0,0,0,1	2,1,0,3	2,0,0,0	243	149
43482	5,3,7,3	1,2,1,1	8,3,3,2	4,0,1,0	243	149
43483	58,62,70,67	1,4,2,2	64,47,59,61	3,4,0,3	195	149
43484	72,66,64,54	6,8,9,5	38,44,43,53	8,3,4,4	195	149
43485	31,25,20,23	1,2,1,1	33,22,30,24	4,0,1,0	267	149
43486	31,25,20,23	0,2,0,1	31,22,30,26	0,0,0,0	267	149
43487	32,29,22,24	6,8,9,5	34,26,30,27	8,3,4,4	267	149
43488	61,60,60,67	44,39,35,32	82,50,60,58	26,25,14,26	267	149
43489	225,184,178,177	3,1,3,5	204,171,170,203	7,5,4,7	378	149
43490	87,78,85,60	3,1,3,5	82,81,74,104	7,5,4,7	287	149
43491	128,77,83,90	0,0,0,1	101,115,104,115	0,1,2,1	184	149
43492	88,81,99,82	0,1,2,2	111,79,138,138	1,6,4,7	214	149
43493	23,22,27,20	0,0,0,0	36,22,40,43	0,0,0,1	214	149
43494	183,166,172,139	0,0,0,0	191,205,168,206	0,0,0,1	312	149
43495	55,51,45,38	0,0,0,0	32,23,24,18	0,0,1,0	329	149
43496	172,192,190,187	0,0,0,0	205,205,233,216	1,0,0,0	236	149
43497	191,192,197,185	1,0,0,0	200,224,288,204	0,2,0,0	286	149
43498	124,106,124,106	0,2,0,2	118,115,131,129	1,1,1,2	268	149
43499	57,48,62,45	2,0,1,0	54,49,56,47	0,0,0,0	293	149
43500	50,44,51,42	1,0,0,0	47,41,56,42	0,0,0,0	293	149
43501	61,59,83,67	2,0,1,0	69,76,69,79	0,0,0,0	249	149
43502	13,9,10,7	0,0,1,0	8,5,4,6	0,0,0,0	249	149
43503	46,46,56,52	1,0,0,0	44,48,58,45	0,0,0,0	249	149
43504	53,67,68,55	0,0,1,0	60,61,45,55	0,0,0,0	272	149
43505	119,126,154,124	12,4,4,2	130,138,118,134	2,3,2,2	272	149
43506	129,150,150,113	0,5,2,1	127,114,125,130	2,1,0,3	330	149
43507	51,33,54,59	0,2,0,0	60,49,48,47	0,0,0,1	238	149
43508	57,61,39,63	0,0,0,0	45,36,68,49	0,1,0,1	264	149
43509	274,239,225,213	0,0,0,0	225,201,247,243	0,1,0,1	1153	149
43510	60,61,68,75	0,0,1,0	83,73,79,78	0,0,0,0	229	149
43512	80,62,68,80	0,0,0,2	66,70,63,84	0,0,0,0	258	149
43513	56,76,70,84	2,2,3,1	62,63,44,62	1,2,2,0	235	149
43514	21,26,29,23	1,0,0,2	16,23,20,33	0,0,1,0	235	149
43515	43,36,42,36	1,0,0,2	38,24,25,37	0,0,1,0	284	149
43516	76,85,80,96	0,0,0,0	84,65,46,66	0,2,0,0	284	149
43517	149,158,202,171	0,0,0,0	207,202,191,217	0,0,0,1	209	149
43518	108,93,109,107	0,0,1,0	137,146,122,162	0,0,0,0	302	149
43519	258,213,240,212	0,0,1,0	315,282,282,313	0,0,0,0	236	149
43520	50,35,28,37	0,0,0,0	62,47,54,55	0,1,1,0	264	149
43521	32,24,27,30	0,0,0,0	40,32,32,41	0,1,0,0	242	149
43522	98,81,88,86	0,2,0,0	92,94,93,94	0,0,0,2	269	149
43524	331,375,438,433	0,0,2,0	437,380,433,394	0,0,0,0	251	149
