IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
133,125,128,131	7,10,7,7	146,116,185,149	11,8,13,12	131	39
55,92,45,62	1,2,1,1	58,48,50,51	0,0,1,1	737	39
35,50,38,34	25,41,36,32	34,34,38,36	36,29,32,39	307	39
61,115,86,61	8,2,12,17	89,80,87,80	10,9,16,3	954	39
172,154,156,175	100,87,97,86	160,139,161,136	81,80,67,71	252	39
68,90,55,59	0,0,3,1	89,87,76,54	0,1,0,1	1170	39
7,7,8,5	4,11,3,8	19,28,17,11	5,3,2,4	116	39
13,11,26,6	17,10,15,17	13,13,12,6	9,15,15,13	230	39
13,13,26,6	2,3,1,2	13,13,12,7	3,3,0,1	234	39
14,19,21,8	44,44,38,35	16,5,7,9	39,35,32,37	111	39
221,205,200,231	4,6,4,3	187,168,186,172	2,2,2,4	623	39
163,187,203,159	10,8,5,5	167,172,162,176	3,10,4,2	419	39
73,106,127,73	69,69,60,57	69,92,85,99	62,65,52,55	332	39
22,39,44,35	88,54,56,61	57,42,31,47	58,74,42,58	148	39
24,42,58,36	5,2,6,3	63,49,33,52	5,11,8,4	156	39
28,46,62,42	11,3,13,10	69,51,39,60	13,4,4,2	169	39
149,126,130,122	0,1,0,0	99,89,97,87	0,1,0,1	93	39
152,127,128,119	0,0,0,0	100,88,96,92	0,0,0,2	93	39
429,369,336,416	0,4,5,2	456,429,467,482	1,0,1,0	538	39
564,452,425,535	14,9,11,9	404,364,481,403	9,10,15,11	124	39
468,694,682,582	27,33,26,24	666,612,666,677	35,33,11,17	1025	39
0,8,13,4	3,4,3,1	3,2,2,2	6,7,5,0	267	39
0,1,1,0	0,1,0,0	1,0,0,0	0,0,0,0	140	39
105,157,85,116	0,0,3,1	159,126,97,99	0,0,1,0	1950	39
0,0,0,2	1,0,0,0	0,0,4,0	0,0,0,0	1420	39
23,33,6,13	4,0,0,0	33,23,28,20	1,1,0,0	345	39
1,1,0,1	0,2,0,0	0,3,1,0	0,0,2,2	138	39
6,2,4,1	1,0,0,0	1,2,2,0	1,0,0,1	1097	39
7,2,13,12	0,0,0,1	2,0,5,3	0,0,0,0	211	39
102,113,130,108	0,3,1,0	100,144,87,118	1,4,1,1	266	39
66,91,81,82	0,0,1,0	91,66,71,82	1,0,0,0	140	39
10,16,19,20	5,5,5,2	22,11,17,30	3,3,2,11	1153	39
2,2,9,2	2,0,0,0	6,7,2,2	0,0,1,1	149	39
162,158,159,137	8,9,4,5	145,130,167,189	8,13,6,9	500	39
112,107,113,81	18,15,23,20	94,84,118,123	25,10,21,21	432	39
27,10,14,11	2,0,0,0	21,15,16,17	1,0,0,1	212	39
32,27,30,20	2,1,0,0	27,34,25,15	2,0,0,0	132	39
148,298,296,170	48,33,31,30	157,221,211,192	37,42,41,46	2242	39
20,40,20,12	34,24,34,42	25,13,32,31	31,24,35,36	355	39
143,170,134,136	1,1,2,2	164,128,163,142	1,1,3,5	221	39
99,114,88,92	8,11,9,11	130,98,117,109	5,4,0,6	136	39
60,61,67,57	4,8,5,6	110,76,81,77	11,4,10,16	123	39
31,32,25,36	2,2,2,2	29,45,38,46	1,3,4,1	1045	39
31,32,25,37	1,3,1,4	29,45,38,46	1,2,2,1	1049	39
543,532,574,487	2,5,8,7	563,489,477,479	10,5,7,4	1164	39
8,1,3,7	28,26,25,41	11,14,13,16	41,33,46,51	167	39
100,85,73,77	2,1,2,1	113,58,116,87	6,1,7,4	144	39
10,18,17,16	0,1,0,0	20,8,21,6	0,0,0,0	587	39
224,188,236,142	6,4,6,3	162,166,158,230	8,5,9,3	217	39
171,246,180,200	32,17,20,18	232,162,215,204	13,14,23,22	2221	39
48,57,73,55	0,0,1,0	48,47,50,61	0,0,0,0	1122	39
150,137,123,127	0,0,1,0	143,129,111,126	0,0,0,0	2460	39
69,102,109,99	15,24,14,22	45,59,61,73	25,19,22,30	1719	39
46,54,44,45	12,20,10,5	56,45,34,57	14,11,11,6	945	39
84,123,138,123	0,0,0,0	82,74,86,90	1,0,1,2	69	39
47,54,43,41	1,0,0,2	40,20,22,35	1,0,0,0	600	39
45,34,36,36	1,0,0,0	30,12,25,22	1,0,0,0	448	39
233,253,243,277	13,10,13,8	329,306,318,424	19,16,12,13	668	39
1353,2129,1845,1555	3,0,4,4	1759,1599,1668,1819	2,1,3,0	2340	39
29,48,36,37	3,3,3,2	43,39,27,45	1,1,2,3	268	39
11,24,16,11	3,1,7,2	12,7,8,10	3,2,9,0	176	39
94,168,165,115	71,61,61,73	128,112,115,110	69,46,58,55	1322	39
84,65,69,76	1,0,1,3	60,65,66,66	1,1,2,0	417	39
17,8,10,15	3,0,2,0	5,7,7,5	0,3,1,2	170	39
26,9,13,11	9,1,3,4	2,9,8,5	0,4,6,3	188	39
118,170,170,131	27,18,15,10	147,151,160,148	27,22,38,15	681	39
