IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
112,85,133,95	152,138,149,154	118,98,104,117	142,159,152,161	298	149
16,9,19,16	144,136,167,146	17,14,12,16	166,152,157,168	196	149
106,82,123,89	4,2,6,7	107,95,98,106	1,0,2,10	298	149
102,79,120,85	4,2,6,7	105,87,95,104	1,0,2,10	298	149
6,3,6,6	4,3,3,6	4,3,3,3	2,8,3,2	196	149
103,79,121,88	2,1,1,2	107,87,95,106	0,4,7,5	298	149
5,4,6,6	108,113,101,105	16,5,6,4	102,70,87,110	298	149
2,0,1,2	1,12,3,7	0,2,0,3	4,5,8,3	152	149
0,1,1,0	0,0,0,0	0,0,0,0	0,1,0,0	268	149
0,0,0,1	0,0,0,0	0,0,0,0	0,1,0,0	189	149
8,8,8,12	1,0,0,0	5,9,6,10	0,0,0,0	298	149
28,36,51,47	5,8,4,9	32,34,29,29	1,1,4,4	298	149
0,0,0,0	2,0,0,0	1,1,1,0	0,1,0,0	298	149
65,40,98,60	3,1,4,5	70,47,68,59	2,1,10,5	298	149
111,115,112,125	106,85,119,100	151,122,128,129	103,113,110,110	168	149
5,11,8,4	13,4,7,10	10,6,4,11	4,5,3,5	298	149
136,139,151,157	5,5,9,7	209,156,221,197	4,9,9,6	153	149
44,35,19,23	52,53,54,44	24,36,30,22	46,38,44,47	298	149
8,7,9,13	22,31,39,22	6,6,15,9	38,29,36,21	234	149
131,117,155,136	33,24,43,27	166,141,152,132	41,45,46,54	177	149
60,53,68,58	33,24,43,27	81,52,67,53	41,45,46,54	283	149
130,103,102,104	0,0,0,0	83,101,95,123	1,0,0,0	298	149
69,78,49,56	8,2,7,10	75,50,59,71	3,8,3,1	198	149
9,15,5,5	2,0,1,1	5,4,4,6	5,1,2,1	298	149
3,5,1,3	13,26,24,18	4,3,0,4	21,17,19,18	207	149
5,9,9,7	16,5,16,12	10,17,12,6	13,17,12,10	180	149
46,45,59,66	1,1,2,1	66,52,55,49	3,0,1,0	239	149
56,49,61,69	0,0,1,1	66,47,56,37	0,0,2,1	239	149
115,85,127,125	34,42,34,36	91,82,94,93	37,36,25,41	158	149
7,6,8,10	3,5,3,5	7,3,4,9	0,4,2,0	157	149
45,44,45,32	37,40,34,32	22,28,17,28	20,32,13,22	157	149
132,150,88,84	52,70,46,41	99,75,85,78	49,46,35,56	157	149
20,12,19,12	8,7,4,3	13,9,18,11	6,3,3,4	157	149
13,6,12,10	8,5,3,6	12,2,4,12	6,4,14,8	186	149
6,15,9,9	260,257,320,271	4,8,3,3	262,207,228,231	162	149
403,384,372,373	10,3,6,5	489,391,409,456	6,1,9,4	298	149
4,1,2,4	6,4,5,2	0,2,3,6	4,6,2,4	171	149
2,6,2,3	186,176,171,150	3,4,4,12	238,177,184,189	184	149
62,55,71,62	123,174,143,112	61,78,58,64	142,156,103,122	170	149
70,87,76,63	67,75,56,63	51,41,34,59	44,40,36,34	164	149
4,0,6,2	40,36,43,35	5,6,1,3	52,39,55,51	184	149
0,0,0,2	6,10,12,8	0,0,1,1	3,5,5,5	152	149
123,145,135,136	3,3,1,2	93,80,86,89	6,0,1,2	298	149
1,6,5,3	68,46,58,63	3,4,3,1	67,63,43,94	298	149
0,2,2,0	0,0,1,0	1,0,1,1	0,0,0,0	298	149
134,99,100,100	1,0,0,0	81,86,54,90	0,0,0,0	298	149
0,2,1,7	24,25,25,25	2,7,2,0	13,23,8,23	298	149
3,1,2,0	24,25,25,25	1,1,1,0	13,23,8,23	298	149
3,0,2,1	0,1,1,7	0,2,2,0	1,6,1,0	298	149
35,29,31,27	41,48,35,50	18,33,29,24	38,36,33,26	197	149
174,156,109,157	10,13,8,17	124,122,98,117	11,14,7,12	298	149
0,2,0,0	6,2,5,1	0,0,0,1	3,3,3,4	153	149
161,186,229,203	4,9,6,5	250,175,214,223	4,7,7,3	235	149
32,32,34,30	22,26,21,19	29,15,33,36	22,19,21,17	177	149
9,3,1,7	2,0,0,0	9,2,3,4	0,0,0,0	298	149
17,24,16,11	3,2,2,1	13,15,17,18	0,4,4,0	152	149
20,35,21,10	104,147,124,143	16,17,18,21	136,105,112,139	298	149
6,13,7,1	104,147,124,143	3,6,5,3	136,105,112,139	298	149
4,5,5,7	14,16,9,9	9,5,12,5	8,3,14,16	175	149
1,2,0,0	0,2,0,0	0,1,0,0	3,1,0,0	161	149
13,15,9,9	66,63,43,55	9,2,10,27	71,45,47,62	233	149
31,42,41,28	7,6,3,5	14,7,8,12	1,0,0,3	157	149
0,0,1,0	1,0,15,3	2,0,1,2	0,3,3,2	298	149
33,30,26,24	99,98,108,108	27,20,21,32	80,79,99,117	191	149
29,23,18,22	1,0,1,1	24,15,17,23	3,2,0,1	173	149
19,19,16,16	124,114,109,103	16,7,11,29	137,131,143,167	169	149
48,42,26,33	67,82,69,72	25,25,33,32	92,98,75,89	298	149
87,99,79,73	6,5,3,6	97,80,79,113	10,2,6,12	298	149
139,164,135,132	6,5,3,6	178,171,141,187	10,2,6,12	242	149
30,32,52,52	1,3,1,2	30,34,42,38	1,0,1,1	153	149
2,3,1,1	0,0,0,1	0,1,1,3	0,0,0,0	153	149
21,29,12,22	137,146,114,146	19,21,20,20	122,110,115,100	153	149
11,19,16,12	0,0,0,0	27,15,19,15	3,0,1,0	298	149
62,69,40,32	2,2,2,0	35,26,21,43	1,1,1,0	298	149
14,32,18,24	88,93,78,80	23,19,12,15	106,71,73,122	155	149
174,179,213,213	0,1,2,1	208,195,222,222	5,4,4,2	298	149
2,0,1,0	0,0,0,0	0,2,0,0	0,0,0,1	201	149
2,1,3,1	0,0,0,0	0,5,3,2	0,0,0,1	298	149
125,170,145,142	5,4,4,4	143,136,174,182	2,3,5,3	199	149
6,3,3,3	1,5,3,1	9,1,9,7	2,0,2,5	168	149
49,67,51,60	2,4,2,1	54,67,53,48	3,0,0,0	153	149
28,34,25,38	0,2,1,0	27,26,32,18	0,1,2,1	171	149
2,1,1,2	2,7,10,6	2,1,0,1	1,5,8,3	257	149
1,0,1,0	14,25,26,24	1,0,0,0	15,18,16,16	208	149
0,0,1,0	0,0,0,0	0,0,3,0	0,0,1,0	298	149
3,9,1,2	1,6,3,5	2,9,9,1	8,3,6,3	170	149
3,9,2,2	15,29,19,24	3,9,8,2	18,25,36,23	170	149
3,10,1,2	3,2,1,1	2,7,8,1	0,1,0,4	170	149
5,0,1,1	47,56,36,33	0,3,1,1	27,31,22,29	161	149
0,2,0,0	0,0,0,0	0,0,0,0	0,0,1,0	298	149
0,4,0,0	56,59,51,55	0,0,2,1	48,29,47,51	298	149
58,52,59,60	6,18,14,21	40,45,37,45	11,12,3,12	161	149
7,5,7,2	1,0,1,3	4,5,3,5	3,0,1,1	279	149
2,1,3,1	129,147,154,148	4,5,1,1	158,120,131,146	179	149
40,33,36,26	69,57,101,99	41,34,32,40	103,90,126,89	298	149
1,0,1,0	64,51,65,56	0,1,1,1	74,58,87,88	154	149
5,14,4,4	12,6,2,11	6,4,3,5	3,6,6,5	298	149
43,40,53,49	6,6,3,7	32,46,26,50	6,4,0,6	292	149
4,14,4,5	3,2,5,3	6,2,2,4	2,0,3,5	298	149
3,1,1,3	15,10,16,12	5,0,5,2	15,15,22,13	164	149
11,12,17,21	4,6,1,3	24,11,16,13	4,2,1,2	163	149
3,8,9,17	0,0,1,0	14,14,16,5	0,0,0,1	164	149
47,39,44,34	1,3,3,3	39,30,35,44	7,2,2,3	183	149
44,50,49,37	60,56,65,56	33,42,38,52	85,64,62,67	152	149
2,1,1,0	0,1,5,4	0,0,0,1	1,0,0,1	261	149
99,121,114,105	1,2,5,3	117,112,123,115	1,4,0,2	214	149
19,21,10,14	36,28,33,21	17,3,14,13	25,33,34,34	298	149
1,1,1,1	423,417,439,426	0,0,0,0	429,355,456,329	179	149
11,14,13,17	103,85,126,88	9,11,19,29	92,123,112,122	298	149
0,0,0,0	1,1,0,0	0,0,0,1	0,2,0,5	163	149
1,2,1,5	0,0,0,1	0,0,0,4	0,3,0,0	243	149
40,52,42,52	0,1,1,0	36,24,37,42	0,0,0,0	298	149
0,0,1,0	0,0,4,1	0,0,0,0	1,0,2,0	204	149
8,21,4,11	11,9,6,16	6,13,6,10	9,5,10,5	298	149
46,54,61,53	0,1,4,10	57,54,72,75	2,4,11,8	201	149
75,62,47,59	1,3,2,4	77,48,44,57	2,1,6,5	209	149
53,33,39,29	9,7,14,12	23,31,21,22	8,7,8,8	188	149
14,4,6,4	4,8,7,15	1,0,2,0	20,9,13,12	298	149
33,27,17,18	2,3,3,3	36,34,25,34	2,3,7,10	186	149
25,25,16,17	0,1,3,2	26,16,12,12	0,5,1,1	181	149
15,21,18,20	0,2,0,0	25,18,7,19	0,0,0,0	298	149
21,17,18,22	6,2,3,6	26,19,7,22	0,4,4,4	298	149
22,5,21,15	3,0,0,1	14,7,11,10	2,0,1,0	298	149
25,17,22,18	1,2,5,1	18,10,10,21	2,1,0,3	298	149
16,19,21,21	6,2,3,6	26,18,6,22	0,4,4,4	298	149
17,7,24,14	3,0,0,1	14,6,10,10	2,0,1,0	298	149
22,7,22,19	3,0,0,1	12,9,14,11	2,0,1,0	298	149
271,266,293,257	0,0,1,0	234,229,214,233	0,0,0,0	298	149
81,77,87,86	2,3,4,9	77,53,75,65	4,3,2,3	170	149
5,1,5,4	41,58,35,48	1,1,0,0	44,38,36,42	211	149
3,7,5,10	35,50,46,36	2,0,1,1	44,40,37,44	238	149
26,36,32,35	119,184,180,123	35,28,30,49	192,151,169,187	161	149
2,9,2,1	1,1,3,2	0,1,1,2	1,1,0,0	200	149
672,665,765,662	2,5,4,1	649,563,704,770	3,2,2,3	294	149
10,1,5,3	0,0,6,0	9,1,1,0	0,0,0,0	190	149
8,2,6,3	0,1,0,0	4,4,7,4	0,0,1,0	190	149
0,0,0,0	0,0,1,1	0,0,0,4	0,4,0,3	298	149
1,0,0,5	13,5,17,12	0,1,5,2	17,17,18,12	184	149
5,8,6,12	13,27,22,21	4,4,9,11	33,30,23,23	298	149
11,14,22,13	2,2,1,3	13,8,13,10	3,3,1,0	255	149
3,14,10,5	11,6,13,15	4,7,5,9	9,4,11,14	298	149
1,0,0,1	11,12,12,2	0,0,0,0	12,8,12,9	184	149
0,0,0,0	0,0,0,1	1,0,4,0	1,0,1,0	263	149
1,0,0,0	0,1,1,1	0,0,0,0	0,0,1,0	164	149
0,0,0,0	1,0,2,0	0,0,0,2	0,0,0,0	223	149
26,21,21,19	2,3,1,2	15,28,8,18	2,2,5,0	168	149
81,82,80,71	7,14,22,17	68,83,56,77	24,12,22,24	168	149
70,57,90,62	6,2,5,3	63,81,44,64	4,11,8,5	157	149
74,61,94,68	13,3,11,10	71,83,50,70	2,4,4,13	170	149
10,6,9,9	13,3,11,10	12,13,14,11	2,4,4,13	162	149
3,8,5,7	126,132,157,157	9,3,8,6	129,127,141,121	220	149
9,13,19,18	175,180,193,206	11,13,6,9	192,193,187,178	247	149
0,2,0,0	0,6,1,4	0,0,0,0	0,1,2,2	164	149
0,2,0,0	2,0,0,0	0,0,0,0	0,0,0,2	193	149
0,6,1,4	2,0,0,0	0,1,2,2	0,0,0,2	178	149
0,0,1,0	19,18,17,10	0,0,0,1	18,12,26,24	165	149
0,0,0,2	0,1,1,1	0,0,0,0	1,0,1,0	298	149
39,46,25,41	9,8,5,8	20,22,31,24	2,7,6,4	176	149
9,20,13,13	4,5,1,1	4,2,9,10	3,1,1,2	176	149
8,14,9,12	0,2,0,0	3,2,8,10	0,1,0,0	176	149
1,0,0,0	2,0,0,0	0,0,0,0	4,1,1,1	198	149
44,40,74,41	34,34,29,50	72,43,57,66	38,44,33,43	179	149
0,1,1,0	130,128,156,135	1,0,0,0	122,97,123,127	196	149
0,2,0,3	11,2,8,6	1,0,0,0	5,2,4,3	298	149
16,12,12,12	233,227,238,228	9,17,6,7	267,254,230,243	191	149
4,2,5,6	1,3,3,1	6,1,4,3	2,4,4,5	298	149
21,17,24,9	1,3,3,1	33,25,20,23	2,4,4,5	298	149
19,17,21,5	0,0,2,2	29,25,17,20	0,0,0,0	298	149
12,1,10,1	11,21,19,14	12,7,12,11	26,20,20,22	183	149
0,0,0,0	0,0,2,0	1,0,1,0	1,0,0,0	209	149
2,4,2,3	25,15,12,17	2,1,3,5	18,14,13,18	298	149
2,2,0,3	25,15,12,17	6,1,2,1	18,14,13,18	298	149
0,0,0,3	0,2,2,2	4,1,1,0	0,1,2,4	205	149
3,0,1,0	4,0,6,3	0,0,3,0	0,0,3,2	217	149
0,3,0,0	0,0,1,0	1,0,3,0	0,0,0,0	153	149
1,3,0,2	7,24,26,22	0,1,0,2	14,9,19,13	192	149
32,39,32,42	0,6,4,3	56,39,47,45	9,3,4,3	200	149
20,15,15,12	0,1,3,3	14,15,12,26	2,1,3,2	154	149
14,10,11,6	7,14,7,10	16,6,14,14	12,14,12,5	155	149
4,6,2,4	0,0,0,1	5,5,5,10	0,0,0,0	298	149
0,2,1,1	8,12,22,14	0,0,2,3	16,12,8,12	153	149
17,9,9,12	1,3,3,3	11,17,15,19	3,3,3,4	298	149
10,4,3,3	1,3,0,5	7,9,9,8	3,0,1,1	298	149
13,21,21,14	54,86,69,84	16,22,14,23	51,60,30,49	298	149
2,1,0,0	2,4,1,8	6,3,3,5	2,2,6,1	165	149
19,24,7,25	89,106,81,77	18,27,20,12	89,91,84,69	298	149
1,0,1,1	30,34,40,37	4,2,0,1	45,23,30,22	206	149
4,3,5,6	0,1,0,1	4,3,8,2	0,0,0,0	156	149
12,6,14,11	0,0,0,1	19,17,10,11	0,0,0,0	269	149
13,14,9,9	0,1,2,0	16,9,15,22	2,0,0,0	298	149
6,3,2,4	4,13,7,7	1,7,2,4	1,7,2,5	184	149
17,8,14,13	1,0,0,0	20,21,12,15	1,1,2,0	298	149
16,19,19,18	1,0,0,0	20,24,12,16	1,1,2,0	269	149
4,3,2,2	3,4,6,4	2,5,2,3	1,3,3,7	184	149
15,8,14,11	0,1,0,0	21,19,12,14	1,0,4,1	298	149
15,10,18,15	0,1,0,0	20,20,13,18	1,0,4,1	269	149
4,3,2,2	1,4,2,0	1,5,2,3	1,2,0,2	184	149
0,0,0,0	8,6,5,9	0,2,2,0	12,10,8,6	193	149
0,0,0,0	0,4,0,3	1,2,3,0	0,1,1,0	248	149
8,6,5,9	0,4,0,3	13,10,9,6	0,1,1,0	204	149
3,3,10,5	0,3,2,0	0,7,6,6	1,1,5,3	228	149
6,10,11,13	0,0,0,0	10,8,6,4	2,0,0,0	298	149
3,6,4,5	0,0,0,0	2,0,5,1	0,0,1,0	298	149
0,2,2,1	1,0,4,1	4,1,0,2	3,0,0,0	298	149
5,10,7,9	25,23,30,31	3,2,4,1	21,32,11,33	298	149
3,6,4,5	0,0,0,0	4,0,5,1	0,0,1,0	298	149
0,2,2,1	1,0,4,1	6,1,0,2	3,0,0,0	298	149
5,10,7,9	25,23,30,31	5,2,4,1	21,32,11,33	298	149
0,2,2,1	1,0,4,1	4,1,1,2	3,0,0,0	298	149
5,10,7,9	25,23,30,31	3,2,5,1	21,32,11,33	298	149
6,10,10,10	25,23,30,31	5,2,4,0	21,32,11,33	288	149
15,16,7,3	47,58,50,47	10,9,22,19	56,45,38,57	185	149
7,5,6,3	3,0,0,0	11,8,5,8	2,0,1,0	250	149
9,13,8,7	35,51,29,37	8,2,8,2	38,31,29,45	222	149
9,13,8,7	9,6,6,3	8,2,8,2	7,10,8,6	222	149
10,13,8,7	59,49,78,54	8,2,8,2	84,69,92,85	222	149
29,25,28,22	1,7,1,0	32,41,39,44	1,3,4,10	249	149
34,28,31,26	304,287,322,276	35,41,41,47	350,291,332,353	249	149
29,29,30,25	304,287,322,276	40,43,44,47	350,291,332,353	268	149
2,6,4,3	5,3,3,4	8,2,6,4	3,0,2,4	168	149
21,14,13,11	0,0,0,0	22,6,5,7	0,0,1,0	153	149
14,5,12,18	0,7,1,1	9,8,5,8	2,0,0,1	159	149
7,16,3,7	0,4,1,4	6,3,1,4	2,2,1,1	157	149
30,27,17,9	0,0,1,0	22,15,14,11	0,0,0,0	154	149
30,15,24,22	835,772,1084,986	21,18,25,25	957,898,810,923	298	149
2,7,4,4	2,1,0,3	9,5,8,14	1,0,5,1	286	149
11,6,4,4	0,0,0,0	10,3,6,7	1,0,0,0	298	149
522,548,632,518	0,3,2,4	517,479,542,507	3,1,2,3	219	149
163,147,190,152	0,1,0,0	129,123,137,130	0,0,0,0	219	149
50,46,48,64	1,7,7,3	44,33,53,75	3,1,5,7	154	149
60,90,82,55	0,0,0,2	73,82,42,66	0,2,0,2	178	149
