IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
73,70,56,80	45,49,75,43	78,69,59,85	68,30,78,43	78	78
59,80,72,64	0,1,0,1	67,75,67,91	4,0,0,2	78	78
60,79,75,64	61,80,76,86	67,75,69,93	60,90,81,69	78	78
69,67,51,74	107,86,107,113	80,48,78,72	124,132,137,149	78	78
16,23,22,19	26,46,27,28	32,22,23,23	39,28,47,28	78	78
1,2,0,2	1,1,3,1	3,2,5,2	5,5,4,2	78	78
1,2,0,2	1,1,3,1	3,2,5,2	5,5,4,2	78	78
107,103,100,114	141,138,131,162	111,87,96,123	159,124,149,139	78	78
4,6,3,5	137,138,130,158	3,2,5,3	158,120,146,133	78	78
51,47,50,57	137,138,130,158	58,58,55,51	158,120,146,133	78	78
51,47,50,57	4,6,3,5	58,58,55,51	3,2,5,3	78	78
54,43,52,60	146,136,154,167	59,55,58,57	115,138,163,112	78	78
119,93,103,139	217,197,210,237	107,77,117,119	168,188,206,165	78	78
94,91,108,84	42,45,54,38	84,85,96,84	47,39,42,40	78	78
27,17,15,26	152,176,145,140	23,12,11,22	161,96,147,162	51	78
18,6,15,9	24,25,22,25	14,8,8,15	18,25,31,21	78	78
79,75,72,67	137,156,124,127	62,68,59,71	146,118,154,146	78	78
32,22,38,27	23,23,33,36	31,42,35,35	49,43,55,37	78	78
33,24,41,29	22,28,26,24	32,43,35,34	40,37,32,36	78	78
0,0,0,4	5,15,2,12	0,0,0,1	4,10,9,4	63	78
0,0,0,4	3,3,3,7	0,0,0,1	3,7,1,0	63	78
252,262,281,267	160,202,175,189	208,176,166,188	153,149,128,159	78	78
1,0,0,0	160,202,173,188	0,0,1,1	153,145,125,159	78	78
1,0,3,1	301,362,323,347	1,2,5,3	246,249,239,257	78	78
2,0,0,0	271,252,230,215	0,0,4,6	261,177,201,234	78	78
33,33,26,38	435,397,349,365	30,41,37,38	414,310,295,367	78	78
0,0,0,0	80,87,71,88	1,0,0,0	80,93,81,114	78	78
2,0,0,0	3,10,9,7	0,0,3,6	2,9,7,7	78	78
69,42,67,74	57,63,72,56	70,59,69,75	65,65,55,59	78	78
