IncLevel1	IncLevel2	IncLevelDifference
0.354,0.321,0.329,0.37	0.389,0.291,0.362,0.419	-0.022
0.691,0.669,0.667,0.689	0.641,0.685,0.696,0.677	0.004
0.214,0.129,0.137,0.221	0.179,0.16,0.103,0.172	0.022
0.429,0.194,0.405,0.265	0.438,0.242,0.205,0.417	-0.002
0.366,0.325,0.367,0.345	0.298,0.366,0.277,0.327	0.034
0.582,0.489,0.535,0.429	0.388,0.494,0.389,0.486	0.069
0.6,0.462,0.612,0.547	0.444,0.538,0.522,0.486	0.058
0.0,0.0,0.0,0.292	0.0,0.0,0.0,0.236	0.014
0.0,0.0,0.0,0.414	0.0,0.0,0.0,1.0	-0.147
0.612,0.565,0.616,0.586	0.576,0.542,0.565,0.542	0.039
0.006,0.0,0.0,0.0	0.0,0.0,0.008,0.006	-0.002
0.003,0.0,0.009,0.003	0.004,0.008,0.02,0.012	-0.007
0.007,0.0,0.0,0.0	0.0,0.0,0.02,0.025	-0.009
0.071,0.077,0.069,0.094	0.068,0.117,0.111,0.094	-0.02
0.0,0.0,0.0,0.0	0.012,0.0,0.0,0.0	-0.003
0.4,0.0,0.0,0.0	0.0,0.0,0.3,0.462	-0.09
0.548,0.4,0.482,0.569	0.519,0.476,0.556,0.56	-0.028
0.5,0.433,0.56,0.533	0.474,0.217,0.333,0.386	0.154
0.347,0.216,0.31,0.282	0.227,0.22,0.299,0.312	0.024
0.333,0.167,0.303,0.211	0.2,0.193,0.261,0.238	0.03
0.46,0.523,0.514,0.491	0.36,0.435,0.389,0.372	0.108
0.179,0.353,0.333,0.174	0.382,0.176,0.2,0.179	0.025
0.156,0.139,0.132,0.027	0.049,0.159,0.129,0.273	-0.039
0.328,0.154,0.263,0.286	0.194,0.288,0.302,0.309	-0.016
0.13,0.132,0.154,0.321	0.22,0.213,0.206,0.256	-0.039
0.31,0.4,0.312,0.2	0.409,0.302,0.449,0.373	-0.078
0.273,0.194,0.441,0.467	0.4,0.5,0.4,0.515	-0.11
0.429,0.479,0.558,0.351	0.535,0.583,0.625,0.61	-0.134
0.467,0.508,0.487,0.478	0.391,0.446,0.403,0.425	0.069
0.513,0.676,0.531,0.573	0.507,0.615,0.563,0.54	0.017
0.403,0.45,0.462,0.383	0.382,0.394,0.37,0.403	0.037
0.567,0.568,0.485,0.642	0.449,0.535,0.478,0.559	0.06
0.684,0.598,0.587,0.773	0.696,0.616,0.658,0.683	-0.003
0.618,0.78,0.605,0.688	0.593,0.484,0.864,0.571	0.045
0.375,0.25,0.727,0.667	1.0,0.625,0.75,0.455	-0.203
0.565,0.491,0.565,0.555	0.575,0.562,0.527,0.607	-0.024
0.0,0.0,0.25,NA	NA,0.0,1.0,NA	-0.417
0.156,0.057,0.172,0.229	0.212,0.2,0.194,0.083	-0.019
0.037,0.037,0.027,0.045	0.029,0.069,0.038,0.074	-0.016
