Sample	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150	152	154	156	158	160	162	164	166	168	170	172	174	176	178	180	182	184	186	188	190	192	194	196	198	200	202	204	206	208	210	212	214	216	218	220	222	224	226	228	230	232	234	236	238	240	242	244	246	248	251	253	255	257	259	261	263	265	267	269	271	273	275	277	279	281	283	285	287	289	291	293	295	297	299	301	303	305	307	309	311	313	315	317	319	321	323	325	327	329	331	333	335	337	339	341	343	345	347	349	351	353	355	357	359	361	363	365	367	369	371	373	375	377	379	381	383	385	387	389	391	393	395	397	399	401	403	405	407	409	411	413	415	417	419	421	423	425	427	429	431	433	435	437	439	441	443	445	447	449	451	453	455	457	459	461	463	465	467	469	471	473	475	477	479	481	483	485	487	489	491	493	495	497	499	501	503	505	507	509	511	513	515	517	519	521	523	525	527	529	531	533	535	537	539	541	543	545	547	549	551	553	555	557	559	561	563	565	567	569	571	573	575	577	579	581	583	585	587	589	591	593	595	597	599	601	603	605	607	609	611	613	615	617	619	621	623	625	627	629	631	633	635	637	639	641	643	645	647	649	651	653	655	657	659	661	663	665	667	669	671	673	675	677	679	681	683	685	687	689	691	693	695	697	699	701	703	705	707	709	711	713	715	717	719	721	723	725	727	729	731	733	735	737	739	741	743	745	747	749	752	754	756	758	760	762	764	766	768	770	772	774	776	778	780	782	784	786	788	790	792	794	796	798	800	802	804	806	808	810	812	814	816	818	820	822	824	826	828	830	832	834	836	838	840	842	844	846	848	850	852	854	856	858	860	862	864	866	868	870	872	874	876	878	880	882	884	886	888	890	892	894	896	898	900	902	904	906	908	910	912	914	916	918	920	922	924	926	928	930	932	934	936	938	940	942	944	946	948	950	952	954	956	958	960	962	964	966	968	970	972	974	976	978	980	982	984	986	988	990	992	994	996	998	1000
CONTROL_REP1	1.69195e-42	3.75308e-42	8.27197e-42	1.81155e-41	3.94196e-41	8.52307e-41	1.83105e-40	3.90864e-40	8.29032e-40	1.74718e-39	3.65869e-39	7.61263e-39	1.57385e-38	3.23307e-38	6.59912e-38	4.09691e-11	8.76991e-07	1.70005e-06	3.86256e-07	3.54893e-07	7.42735e-07	1.85877e-07	1.16559e-07	3.8889e-07	8.68019e-07	8.77587e-07	3.44633e-07	9.97368e-07	1.61222e-06	7.31534e-07	1.01456e-06	8.90917e-07	2.00264e-06	1.54785e-06	1.7003e-06	9.40638e-07	1.99052e-06	2.98687e-06	1.50865e-06	1.03467e-06	1.88179e-06	2.21523e-06	1.91157e-06	3.6301e-06	3.50853e-06	4.44969e-06	4.83187e-06	6.27863e-06	4.70559e-06	8.77798e-06	1.1439e-05	8.69742e-06	9.60975e-06	1.09528e-05	1.12559e-05	1.66687e-05	2.16589e-05	2.30906e-05	2.67635e-05	3.01655e-05	3.34132e-05	3.07331e-05	3.45848e-05	4.40086e-05	4.75503e-05	5.76617e-05	5.75643e-05	5.35308e-05	6.72631e-05	7.59391e-05	7.96443e-05	8.16612e-05	9.60438e-05	0.000105725	0.000113982	0.000113133	0.000129317	0.000144943	0.000147096	0.000151246	0.000163628	0.000166576	0.000178022	0.000197567	0.000218922	0.000249257	0.000229158	0.000266836	0.000270896	0.00028736	0.0003132	0.000313157	0.000334824	0.000360888	0.000374247	0.00041567	0.000452462	0.000442917	0.000474284	0.000496222	0.000518964	0.000571599	0.000598594	0.000617787	0.000692269	0.000765433	0.000748445	0.000713188	0.000796006	0.000866859	0.000919975	0.000968207	0.000981418	0.00104384	0.00108468	0.00112427	0.00116569	0.00124359	0.00130998	0.00143133	0.00147761	0.00148086	0.00155394	0.00163797	0.0017047	0.0018275	0.00190299	0.00199135	0.00205544	0.00213107	0.00217859	0.00236514	0.00235735	0.00243068	0.00256139	0.00258674	0.00266342	0.0028227	0.00286733	0.00294533	0.00307693	0.00308216	0.00313041	0.00318648	0.00326876	0.00339734	0.0034376	0.00354425	0.00351131	0.00354633	0.00366228	0.00372784	0.00375328	0.00380503	0.00390795	0.00395871	0.00398194	0.00403626	0.00401439	0.00405282	0.00403229	0.00401612	0.0040504	0.00416625	0.00412585	0.00418648	0.00413506	0.00412362	0.00414666	0.00406302	0.00409018	0.00412717	0.004053	0.00410756	0.00415318	0.00402904	0.0040502	0.00405801	0.00393299	0.00392578	0.0040039	0.00403119	0.00400417	0.00387127	0.00379394	0.0038543	0.00374478	0.00369357	0.00368314	0.00359374	0.00367567	0.00364622	0.00357094	0.00354965	0.00351836	0.00347017	0.00340313	0.00329954	0.00328804	0.00321124	0.00317638	0.00318111	0.00312383	0.00312158	0.00303789	0.00302748	0.00302674	0.00290915	0.00293013	0.00287969	0.00289041	0.00284383	0.00278536	0.00265801	0.00271051	0.00268833	0.00266694	0.00256317	0.00249258	0.00240741	0.00244692	0.00246425	0.00236593	0.00237111	0.00234311	0.0023594	0.00234608	0.00224361	0.00222995	0.00219462	0.00214324	0.0021099	0.00200331	0.00204104	0.00201409	0.00200352	0.00192172	0.00191842	0.00187856	0.0018426	0.00184137	0.00183611	0.00180049	0.00178388	0.0018096	0.00174611	0.0016957	0.00165816	0.00164111	0.00163598	0.0015812	0.00150703	0.00146492	0.00145874	0.00143564	0.00143632	0.00143864	0.00141024	0.00134307	0.00131201	0.0013873	0.00138954	0.00130328	0.0012933	0.00123464	0.00121361	0.00123997	0.00124837	0.00115974	0.0011583	0.00112967	0.00112773	0.0011087	0.0010792	0.00109105	0.0010632	0.000987892	0.000947022	0.000972234	0.00103144	0.000982919	0.000967576	0.000949566	0.000925066	0.000868799	0.000864599	0.0008713	0.000887794	0.000822171	0.000826979	0.00083668	0.000782346	0.000785028	0.000776605	0.000741776	0.000706867	0.000706532	0.00069878	0.000721304	0.00071289	0.000675251	0.000679245	0.00063249	0.000613391	0.000597923	0.00062739	0.000634064	0.000591984	0.000561305	0.000553752	0.000543077	0.000556152	0.000524861	0.000512059	0.000505855	0.000486501	0.000471406	0.000462229	0.00047617	0.000508949	0.000489007	0.000449151	0.000433542	0.000418546	0.00040932	0.000407601	0.000408628	0.000394626	0.000393552	0.000396964	0.000364536	0.000323056	0.000332429	0.000349675	0.000353593	0.000344743	0.000351194	0.000329337	0.000321677	0.000296101	0.000285179	0.000266569	0.000283838	0.000280945	0.000274253	0.000262122	0.000259111	0.000240781	0.000249177	0.000245269	0.000243441	0.000233378	0.000225465	0.000221453	0.000218327	0.000212566	0.000204668	0.00018601	0.000187551	0.000189493	0.000190867	0.00019238	0.000197947	0.000190638	0.000176717	0.000182772	0.000177524	0.000167201	0.000179048	0.000174745	0.000161324	0.000161083	0.000153299	0.000151764	0.000167293	0.000134295	0.000127454	0.000127944	0.000134832	0.000133777	0.000126841	0.000108827	0.000107661	0.000114423	0.000104425	0.000107841	9.9085e-05	0.0001049	9.86984e-05	8.19033e-05	9.69018e-05	0.000103621	9.12399e-05	9.66421e-05	8.42938e-05	7.70829e-05	8.42946e-05	8.47083e-05	6.59683e-05	6.02664e-05	6.24812e-05	7.41162e-05	8.02691e-05	6.23489e-05	5.6731e-05	5.78839e-05	5.78822e-05	5.10447e-05	4.78785e-05	5.43155e-05	6.3767e-05	5.6025e-05	4.96371e-05	4.56426e-05	4.76859e-05	4.34434e-05	4.71685e-05	4.84487e-05	4.08592e-05	3.4204e-05	3.69615e-05	3.64396e-05	3.20364e-05	3.36291e-05	3.33093e-05	3.43791e-05	3.3383e-05	2.7587e-05	3.10544e-05	2.54305e-05	2.23933e-05	2.21757e-05	2.57912e-05	2.84327e-05	2.80824e-05	2.51945e-05	2.37759e-05	1.77687e-05	2.15566e-05	1.92756e-05	1.68111e-05	1.35145e-05	1.34984e-05	1.7415e-05	1.57818e-05	1.55285e-05	1.15555e-05	1.40558e-05	1.37614e-05	1.41925e-05	8.88282e-06	9.89577e-06	1.1835e-05	1.32188e-05	1.58021e-05	9.76821e-06	8.6358e-06	9.22463e-06	9.43096e-06	1.01096e-05	1.11377e-05	1.33226e-05	8.96345e-06	8.83244e-06	9.93796e-06	8.49778e-06	1.02544e-05	6.2459e-06	3.56415e-06	3.88987e-06	6.65902e-06	4.96842e-06	4.62295e-06	6.14151e-06	5.35414e-06	6.26389e-06	7.85548e-06	7.72228e-06	4.40458e-06	3.74091e-06	5.80535e-06	7.16699e-06	3.24383e-06	3.01431e-06	3.26094e-06	3.38018e-06	2.71564e-06	2.3207e-06	3.47075e-06	3.88219e-06	1.97701e-06	3.8142e-06	6.65407e-06	3.9214e-06	1.49599e-06	2.61648e-06	4.37698e-06	2.78524e-06	4.61452e-06	1.41983e-05
CONTROL_REP2	1.79812e-42	3.98857e-42	8.791e-42	1.92522e-41	4.18931e-41	9.05786e-41	1.94594e-40	4.15389e-40	8.81051e-40	1.85681e-39	3.88826e-39	8.09029e-39	1.67261e-38	3.43593e-38	7.01319e-38	1.90128e-08	1.15264e-07	5.9073e-08	8.05156e-08	4.38449e-08	1.13916e-07	5.96582e-07	5.94966e-07	5.56373e-07	3.03273e-07	6.14497e-07	1.26847e-06	4.81069e-07	8.71344e-07	9.85323e-07	5.41785e-07	7.39448e-07	2.02434e-06	1.5636e-06	1.17594e-06	5.09288e-07	5.54947e-07	1.27567e-06	2.13578e-06	1.99665e-06	3.783e-06	3.09218e-06	3.32825e-06	5.444e-06	4.78418e-06	3.45456e-06	2.90773e-06	5.50615e-06	9.93411e-06	7.83206e-06	8.82198e-06	1.00454e-05	1.57201e-05	1.21342e-05	9.75157e-06	1.34036e-05	2.00285e-05	2.08467e-05	2.01511e-05	2.85673e-05	2.87529e-05	3.07933e-05	3.21989e-05	4.2173e-05	4.61126e-05	4.6277e-05	5.4031e-05	6.49283e-05	5.77952e-05	6.43825e-05	7.14096e-05	7.2489e-05	8.65552e-05	9.0343e-05	8.62356e-05	9.76386e-05	0.000105668	0.000123803	0.00013569	0.000138954	0.000145211	0.000150727	0.000160389	0.000164095	0.000179762	0.000190506	0.000227145	0.000240783	0.000262126	0.000267827	0.000275894	0.000287175	0.000324006	0.000345802	0.000353473	0.000362129	0.000386505	0.000423868	0.000445091	0.000458751	0.000526267	0.000541154	0.000588768	0.000632886	0.000648127	0.000723451	0.000759217	0.000761962	0.000774244	0.000820973	0.00090002	0.000984163	0.00105246	0.00113993	0.0012106	0.00117186	0.00121287	0.00131308	0.00139959	0.00145454	0.00151934	0.0015929	0.00165437	0.00180736	0.00182463	0.00196094	0.00198994	0.0020978	0.00221147	0.00231502	0.00236191	0.00241073	0.00256201	0.00259621	0.00271639	0.0028343	0.00284214	0.00295874	0.0030843	0.00311641	0.00325387	0.00341698	0.00346239	0.00349551	0.0036034	0.00364038	0.00364319	0.0037561	0.00380884	0.00394249	0.00399321	0.00402803	0.00408492	0.00401367	0.0040499	0.00404109	0.00415472	0.00430625	0.00428031	0.00430234	0.00434867	0.00428014	0.00435711	0.00426416	0.00424587	0.00436178	0.00432712	0.00431627	0.0042802	0.00429686	0.00435793	0.00425138	0.00426576	0.00433034	0.00423369	0.00413688	0.00411516	0.00421762	0.00407893	0.00402918	0.00404995	0.00397406	0.00398531	0.0039342	0.00387518	0.00391686	0.00384957	0.00382537	0.0037596	0.00363654	0.00365047	0.00356942	0.0035827	0.00357125	0.00342633	0.0033299	0.00332219	0.00338294	0.00340506	0.00331952	0.0032959	0.00327625	0.00312974	0.00305134	0.003087	0.00310169	0.003001	0.00292822	0.00286353	0.00282298	0.00278016	0.00273492	0.00278975	0.00279994	0.00267259	0.00259732	0.00256447	0.00247821	0.00244083	0.00248558	0.0024008	0.00241802	0.00236464	0.00231941	0.00227744	0.00222796	0.00220003	0.00221623	0.00211833	0.00212581	0.00211197	0.00202941	0.00200974	0.00198311	0.00195063	0.0018585	0.00179741	0.00177517	0.00181103	0.00182473	0.0017556	0.00172134	0.00173028	0.00175865	0.00167586	0.0016353	0.00160637	0.00155587	0.00151135	0.00149006	0.00148954	0.00151371	0.00144562	0.00140365	0.0014075	0.00131148	0.00130886	0.00132069	0.00127511	0.00130832	0.00126868	0.00123739	0.00119799	0.0011834	0.00115986	0.00116284	0.0011373	0.00110812	0.00108869	0.00109784	0.00103247	0.000987033	0.000998505	0.00101094	0.00101232	0.000985545	0.000965033	0.000911218	0.00088494	0.000917477	0.000871093	0.000853828	0.00083414	0.000822805	0.000820514	0.000801283	0.000757909	0.000764645	0.000770935	0.000735929	0.0007188	0.000729319	0.000674852	0.000655407	0.000666646	0.000646773	0.000640157	0.00064385	0.000643668	0.000605132	0.000577717	0.000599402	0.000591785	0.000598407	0.000559455	0.000556008	0.000537431	0.000526508	0.00051217	0.000494761	0.000514819	0.000455031	0.000452316	0.000466953	0.000492879	0.000444168	0.00040644	0.000410795	0.000417227	0.000432095	0.000397169	0.000395432	0.00040127	0.000376801	0.000353421	0.000362007	0.000363735	0.000348292	0.000320288	0.000308342	0.00032106	0.000325453	0.000290831	0.000276636	0.000280717	0.000280054	0.000274567	0.000268566	0.000279624	0.00027095	0.000273105	0.000242994	0.00023479	0.000241762	0.000249223	0.000226224	0.000206094	0.000209761	0.000201453	0.000201549	0.000194222	0.000199687	0.000217248	0.000195197	0.000185508	0.000191232	0.000186052	0.000182131	0.000166285	0.000167291	0.000160023	0.000146391	0.000158202	0.000152317	0.000139419	0.000120423	0.000145862	0.00013126	0.000116176	0.000114615	0.000118091	0.00011267	0.000115562	0.000103647	9.81372e-05	9.40404e-05	9.30469e-05	8.59915e-05	8.83569e-05	9.80201e-05	9.09929e-05	8.31752e-05	7.57955e-05	8.36418e-05	7.51661e-05	7.68128e-05	8.34751e-05	6.99065e-05	7.04572e-05	6.86921e-05	5.92234e-05	6.27996e-05	5.84085e-05	6.08951e-05	6.52272e-05	5.06817e-05	5.33983e-05	5.32835e-05	4.91932e-05	5.33506e-05	5.60889e-05	5.36902e-05	3.79645e-05	4.15911e-05	4.41458e-05	4.0355e-05	4.21007e-05	4.39499e-05	4.26742e-05	3.73509e-05	3.47002e-05	3.75627e-05	2.98225e-05	2.82005e-05	3.16792e-05	3.41701e-05	2.51141e-05	2.51849e-05	2.67093e-05	2.64597e-05	2.46132e-05	2.36998e-05	2.33167e-05	2.51553e-05	2.20067e-05	2.05103e-05	2.38467e-05	2.41724e-05	1.8425e-05	1.41588e-05	1.98391e-05	1.94501e-05	1.55956e-05	1.77459e-05	1.51114e-05	1.83416e-05	1.5392e-05	1.0852e-05	1.47768e-05	1.44415e-05	1.41982e-05	1.69864e-05	1.24473e-05	9.61816e-06	1.48978e-05	1.26218e-05	1.0222e-05	9.67098e-06	8.0102e-06	9.95193e-06	8.62489e-06	5.40223e-06	6.26857e-06	9.24348e-06	5.84328e-06	3.88448e-06	6.3954e-06	4.83193e-06	4.55584e-06	4.64826e-06	5.96935e-06	4.28378e-06	7.55168e-06	6.47588e-06	2.35739e-06	2.85364e-06	2.86937e-06	2.65744e-06	2.59761e-06	5.46645e-06	5.85227e-06	6.04529e-06	2.39314e-06	1.38056e-06	2.64913e-06	4.57241e-06	3.68375e-06	1.21809e-06	1.77688e-06	2.23084e-06	2.32024e-06	7.15058e-07	8.61078e-07	3.8209e-06	2.25748e-06	3.33357e-06	3.24389e-06	1.77103e-06	4.65885e-06	2.73184e-06	8.72562e-07	3.84608e-07	3.01303e-07	1.49366e-06	1.20772e-06	1.09157e-06	3.86589e-06	2.13296e-06	1.1511e-06	5.93616e-06
CONTROL_REP3	1.8626e-42	4.13162e-42	9.10628e-42	1.99426e-41	4.33955e-41	9.38271e-41	2.01573e-40	4.30286e-40	9.12649e-40	1.9234e-39	4.02771e-39	8.38044e-39	1.73259e-38	3.55916e-38	7.26471e-38	1.9742e-10	1.01244e-08	3.69611e-07	2.76169e-06	1.36609e-06	1.58729e-06	1.28468e-06	9.11629e-07	3.66806e-07	1.82884e-07	6.09316e-07	4.06697e-07	9.25177e-07	5.24217e-07	6.04903e-07	9.56975e-07	1.8272e-06	4.30635e-06	2.81479e-06	1.15614e-06	8.25e-07	6.01284e-07	7.83164e-07	2.29791e-06	1.67551e-06	2.14478e-06	2.31329e-06	4.52542e-06	3.54775e-06	3.38371e-06	3.67852e-06	4.18452e-06	3.46561e-06	2.91734e-06	3.18985e-06	7.24404e-06	8.09794e-06	9.94018e-06	1.36944e-05	1.64025e-05	1.73023e-05	1.75925e-05	1.65603e-05	1.9884e-05	2.67353e-05	2.94703e-05	2.49153e-05	2.13321e-05	2.95337e-05	3.8849e-05	4.23848e-05	4.93135e-05	5.35349e-05	6.06261e-05	7.14355e-05	7.95318e-05	9.0709e-05	9.49103e-05	9.23323e-05	0.000107069	0.000107898	0.000103598	0.000127919	0.000148003	0.000164598	0.000168229	0.000190367	0.000201728	0.000185162	0.00021383	0.000254994	0.000243916	0.000268699	0.000283323	0.000282553	0.000299271	0.000348837	0.000372999	0.000372714	0.000397853	0.00041061	0.00045166	0.000484204	0.000476138	0.000490097	0.000530901	0.000571477	0.000597292	0.00064055	0.000724971	0.000735216	0.000728341	0.000784483	0.000806488	0.000854941	0.000973275	0.00102862	0.00103092	0.001088	0.00111438	0.00119135	0.0012742	0.00132599	0.00140772	0.0014117	0.00151824	0.00157064	0.00159582	0.00165499	0.00174732	0.001853	0.00198139	0.00207723	0.00218436	0.00227016	0.00232749	0.00241946	0.00242371	0.00254672	0.00272383	0.00277677	0.00281117	0.00281528	0.00293398	0.00311219	0.00312972	0.0031415	0.00325704	0.00328469	0.00338224	0.00343389	0.00344156	0.00363077	0.00370901	0.00370637	0.00378686	0.00380253	0.00387964	0.00391937	0.00397773	0.00398444	0.0040744	0.00410494	0.00414032	0.00416793	0.00416297	0.00418698	0.00426617	0.00430815	0.00430307	0.00426825	0.0042239	0.00431541	0.00421762	0.00420095	0.00421119	0.00427732	0.00427496	0.00424622	0.00424466	0.00422411	0.00421091	0.00414991	0.00422061	0.0041672	0.00408739	0.00408641	0.00400706	0.00396754	0.00385266	0.00393865	0.00391615	0.00383944	0.00376653	0.00364691	0.00370945	0.00371991	0.00372652	0.00359135	0.0035035	0.00351048	0.0035083	0.00336928	0.00338336	0.00336531	0.00333483	0.00329398	0.00327716	0.00318505	0.003098	0.0030668	0.00299956	0.0029473	0.00301207	0.00296925	0.00284093	0.00280817	0.00282868	0.00282609	0.00273275	0.00260709	0.00271409	0.00262056	0.00258465	0.00254625	0.00247673	0.00244976	0.00238429	0.0023172	0.00229901	0.00228734	0.00226528	0.00225173	0.00220521	0.00215204	0.00210885	0.00200758	0.00208006	0.00204043	0.00195725	0.00191832	0.00192138	0.00188047	0.0018623	0.00178228	0.00174757	0.00178086	0.00175754	0.00164875	0.00166873	0.00163458	0.0016235	0.00156557	0.00155984	0.00155272	0.00154789	0.00152431	0.00148236	0.00148221	0.00144794	0.00136307	0.00134178	0.00132799	0.0012791	0.00130728	0.00129064	0.00128674	0.00127496	0.00124791	0.00117593	0.00116407	0.00112565	0.00112821	0.00112657	0.00109634	0.00102364	0.00104497	0.00108458	0.00106738	0.00103485	0.000957452	0.000925435	0.00093626	0.000942136	0.000929783	0.000907702	0.000864458	0.00087168	0.00085634	0.000852211	0.000791168	0.000769242	0.000801752	0.00078983	0.000757308	0.000758731	0.000760842	0.000719299	0.000687224	0.000693863	0.000687683	0.000685391	0.00066177	0.000617587	0.000573694	0.000583918	0.000602763	0.000565488	0.000562351	0.00056501	0.000542409	0.000547124	0.000521586	0.000505066	0.000513905	0.000484629	0.000473556	0.000422765	0.000418058	0.000436095	0.00042173	0.000419634	0.000420583	0.000413457	0.000400266	0.00040493	0.000406388	0.00040643	0.00038695	0.000356261	0.000348638	0.000335108	0.000334619	0.000348839	0.000325832	0.000294857	0.000300153	0.000300814	0.000280902	0.000255174	0.00026412	0.000265018	0.000259391	0.000259496	0.000236832	0.000231715	0.00023324	0.000236233	0.000220248	0.000212091	0.000205484	0.000185439	0.000186838	0.00020263	0.000193025	0.000192045	0.000180997	0.000191526	0.000201199	0.000175437	0.000167261	0.000149594	0.000160813	0.000156258	0.00015592	0.000143073	0.000144611	0.000132641	0.000145593	0.000149229	0.00014754	0.000140208	0.000123515	0.000110889	0.00010282	0.000106866	0.000110304	0.000106025	0.000116973	0.000109373	9.7549e-05	8.81333e-05	8.14916e-05	8.29075e-05	8.25226e-05	8.10259e-05	7.71722e-05	8.26032e-05	7.62266e-05	7.37233e-05	6.92147e-05	6.93344e-05	7.70075e-05	7.43481e-05	7.3937e-05	6.87036e-05	6.2332e-05	6.37679e-05	6.67589e-05	5.70079e-05	5.33638e-05	4.81835e-05	4.99734e-05	4.75453e-05	4.95347e-05	4.44347e-05	4.39209e-05	3.97996e-05	4.01868e-05	4.27428e-05	4.35626e-05	3.9683e-05	4.13112e-05	3.73881e-05	3.82799e-05	3.14972e-05	2.90416e-05	2.80987e-05	3.05021e-05	3.20168e-05	3.58418e-05	3.1088e-05	2.79635e-05	2.38323e-05	2.6517e-05	2.43292e-05	2.05849e-05	3.05279e-05	2.61038e-05	1.79997e-05	1.75441e-05	1.67033e-05	1.93251e-05	2.25595e-05	1.92738e-05	1.50492e-05	1.69879e-05	1.47236e-05	2.19762e-05	1.72027e-05	1.25925e-05	1.50309e-05	1.8385e-05	1.52275e-05	1.32422e-05	8.04949e-06	1.02686e-05	1.40892e-05	8.3473e-06	4.54194e-06	8.60399e-06	9.81327e-06	8.82208e-06	1.01625e-05	1.01534e-05	1.02728e-05	1.26747e-05	1.0497e-05	7.48234e-06	5.58056e-06	9.60212e-06	7.73218e-06	5.45365e-06	6.1467e-06	5.50106e-06	6.3825e-06	4.7486e-06	4.21361e-06	4.39659e-06	4.2762e-06	3.23533e-06	2.76207e-06	3.32652e-06	3.42287e-06	5.06119e-06	4.10251e-06	1.82412e-06	1.75501e-06	3.75083e-06	4.21618e-06	3.50363e-06	4.24672e-06	4.53105e-06	1.89765e-06	9.95662e-07	1.75154e-06	3.2008e-06	1.77498e-06	1.67955e-06	2.23993e-06	2.58988e-06	1.77126e-06	3.35127e-06	4.84504e-06	1.99747e-06	1.09144e-06	1.73667e-06	2.87158e-06	2.00777e-06	1.13916e-06	1.02288e-06	1.49257e-06	1.79673e-06	3.07775e-06	5.74452e-06
