Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138
CONTROL_REP1_1 - illumina_universal_adapter	0.00027367598037931963	0.0002831130831510203	0.00030198728869442165	0.000306705840080272	0.00031142439146612235	0.00031614294285197265	0.00031614294285197265	0.000320861494237823	0.000349172802552925	0.00037984338656095224	0.0004482623816557821	0.0005001664469001358	0.0005685854419949657	0.0006228487829322447	0.0006747528481765984	0.000809231562673333	0.0009649437584063942	0.0010616740618163262	0.0012055898790847615	0.0013329907665027207	0.0014863436865428566	0.0016916006718273463	0.0018756241758755095	0.0020714440583882985	0.0022908566978303395	0.0025598141268238085	0.0028193344530455773	0.0030646991251097946	0.0033714049651900665	0.0037158592163571416	0.004057954191831291	0.004355222929139863	0.004709114283078637	0.005155017389041495	0.0055608128082246236	0.006032667946809658	0.006454978295843263	0.006912677780270746	0.007375095816084079	0.007995585323323399	0.008545296559774963	0.009135115483006256	0.009847616742269655	0.010647411202171289	0.011442487110687072	0.01227767070598258	0.013169476917908294	0.014339677661599179	0.015623123638550469	0.016984425713368292	0.018423583886052645	0.02000429860031251	0.021747803337384207	0.02360219403202339	0.02592372131386176	0.028445787029598765	0.031092894357060807	0.03425196450988761	0.03775784818957441	0.041709634975224064	0.04608373210990733	0.05105708527059359	0.05677596955024419	0.06313893609406337	0.07021440389714596	0.07795282816994051	0.08641790935615602	0.09588568271186473	0.10586070034155234	0.11666618301514961	0.12906417678147136	0.1421510790501273	0.15669365442131805	0.17248192735837328
CONTROL_REP1_1 - polya	0.002137503777790203	0.00852170380284571	0.012574939443291152	0.016944318026588565	0.021016427872577407	0.024626119682752915	0.030212884523599718	0.04031530304070529	0.05489090827159699	0.072861511224608	0.08454700373166636	0.09748055308028214	0.11096145438965656	0.12370862095853125	0.13730984532824486	0.15090163259518674	0.1642338995359069	0.17689613217983624	0.1899759566214134	0.202631111438264	0.2154042300397609	0.22789895410949257	0.24076172518732059	0.255818622659569	0.2693066017960222	0.28172818831927326	0.29343255503187504	0.3057007886350859	0.31737448476367963	0.32912131843875403	0.341700976433431	0.3530868409274879	0.363930072012172	0.37593406673777524	0.3864234064685205	0.3976771515237736	0.4102190611073638	0.42273265938263893	0.4342435654884208	0.4465283140214822	0.45881542183023644	0.46974358683986583	0.48061276995717206	0.4917792218117869	0.5038398391540204	0.5153318710542589	0.5262741917180458	0.5371646083165884	0.5479535760603351	0.5599127445477728	0.5733535381703676	0.5862752911405187	0.5973686054486529	0.6084642790324799	0.6199232810730174	0.6304550877662354	0.6409184754643585	0.6517310359650346	0.6622439684527092	0.673563773227364	0.6852704992156589	0.6958919583852079	0.7065299324846075	0.7156508923134562	0.7262322437962256	0.7364243147896623	0.7476804191206083	0.7587996854613646	0.7695744975509539	0.779971825529675	0.7905602548395232	0.802358992579842	0.8130205594361708	0.8230616367852603
CONTROL_REP1_2 - illumina_universal_adapter	0.00027839453176517	0.0002972687373085713	0.00032558004562367336	0.00038692121363972774	0.00040107686779727875	0.0004576994844274828	0.0004765736899708842	0.0005190406524435373	0.0005945374746171426	0.00076676460020068	0.0010074107208790472	0.0013589427991248975	0.0017081156016778224	0.0020832404368529246	0.0025598141268238085	0.0032628782833155094	0.0041546844952412235	0.004956838230835781	0.00586044082122612	0.006841899509482991	0.008097034178119182	0.009227127235030337	0.01038317232456367	0.011617073511963533	0.012907597315993601	0.014250025185268023	0.015514596956675912	0.016894773237037135	0.018369320545115368	0.01975657465255537	0.021148547311381216	0.022481538077883938	0.023805091741614957	0.02531738746077999	0.026810808974401624	0.028469379786528016	0.03004065739801618	0.03157418659841754	0.03307704521481087	0.0348512205358906	0.036601803100041075	0.038401930453742975	0.04023980621853168	0.04216497518395862	0.04418923372848842	0.04614271400223045	0.04806788296765739	0.050502655482756176	0.0529610207547842	0.05545713443789903	0.058132553073676166	0.06089762418578447	0.06369100660620786	0.06656932295157658	0.07002802111740487	0.07374623960945494	0.07768387074094704	0.08195180046944867	0.08652407676233766	0.09167673487568623	0.09723046985683206	0.1032985269390356	0.11011683369158935	0.11754855212430362	0.1256267120968794	0.1344857923238134	0.1440267032260028	0.1543744864151726	0.1654630821719209	0.17740337645381518	0.19084417007640986	0.20514845860261516	0.22097919850214304	0.23792823508011746
CONTROL_REP1_2 - polya	0.012527753929432648	0.02387115146101686	0.028004602475021758	0.03130286989373114	0.03455867034996788	0.03706893968724026	0.0397349212202457	0.04824246936893386	0.059392406293698206	0.07184230412526432	0.07952410578142868	0.0897893143213461	0.10191363210728854	0.11286538987384717	0.12323676581994622	0.13362465669589574	0.1450954551148979	0.15523326276739735	0.1660363861653017	0.1781087998859998	0.1895725204779232	0.2003166619835044	0.21087677998503745	0.222998738495287	0.23433269892409953	0.24502257708874345	0.255660551188143	0.2660390049613208	0.27615321985689106	0.2861400338650433	0.2965798288062372	0.30710927622376216	0.31709844950760735	0.3271253712025394	0.336626174417949	0.3461222590819728	0.3561232287442826	0.36610768347674194	0.37641064042774613	0.3869282914668065	0.3971203624602433	0.4075082533361928	0.41795040755307955	0.427932503009846	0.4383439866427247	0.4500884610421062	0.460658016146411	0.47000782571747346	0.4800135139311691	0.49064912875487576	0.5014097851903074	0.5117268977954692	0.5222870157970023	0.5327881519062122	0.5433105214966585	0.5534412513220791	0.562965647294418	0.5723673609307248	0.581724248328866	0.5907885855410846	0.5999991978462644	0.610160598255693	0.6200907896472152	0.6295066589376795	0.6391207073863495	0.6500677466015223	0.6605665234350393	0.6712941500107701	0.6815310472423723	0.6923105778833475	0.7026725167266749	0.7126357379778978	0.7217071530171951	0.7315123027969921
CONTROL_REP2_1 - illumina_universal_adapter	0.00019412486638316118	0.00020336890763950218	0.00021261294889584318	0.0002311010314085252	0.0002311010314085252	0.0002403450726648662	0.0002449670932930367	0.0002449670932930367	0.0002495891139212072	0.000265766186119804	0.00027269921706205973	0.00030505336145925327	0.00035358457805504355	0.0004159818565353453	0.0004575800421888799	0.0005245993412973522	0.0005916186404058245	0.000670192991084723	0.0007649444139622184	0.0008735618987242253	0.000991423424742573	0.0011508831364144554	0.0012802997140032295	0.0014744245803863906	0.001687037529282234	0.0018280091584414342	0.0019666697772865492	0.0022047038396373307	0.0023965176957064065	0.0025744654898909704	0.002780145407844558	0.003041289573336192	0.003253902522232035	0.0035081136567814124	0.003743836708818108	0.003958760668028037	0.004256880998545034	0.004601221535343737	0.004938629041200184	0.005252926443915777	0.005664286279822952	0.006112622280755492	0.006595623436399309	0.007009294282620569	0.007568558778629201	0.008204086615002645	0.00883499243074792	0.009641535030363671	0.010508163898145642	0.0114233239825234	0.012537230953912492	0.013609539739648048	0.014737312772921653	0.016359642013409496	0.0181298759139988	0.020202852165733275	0.022546216624215718	0.02523854364012504	0.02833760847131336	0.031508314622238326	0.03530299355796631	0.03966387002064518	0.044200383267194526	0.04935855828823281	0.05535563005328404	0.061773305695498784	0.06907840929832226	0.07738880238777282	0.08650804908715323	0.09566658296187308	0.10589280360170034	0.1166621116653376	0.1285892358963316	0.14170421942876538
CONTROL_REP2_1 - polya	0.001964358766972464	0.007922143356684244	0.011869348973141854	0.016080009765405183	0.01960661150469928	0.022989930604520085	0.02808339733676398	0.03737828082001487	0.05120274451887284	0.06873175775120949	0.07998175596017648	0.09153911854091683	0.1040324402988617	0.11618142152000788	0.12903757189726411	0.14161177901620198	0.15415132098042855	0.16623097189215216	0.178696561526328	0.19082705466496153	0.20280964314349353	0.21400879912555068	0.22576721960361643	0.23969798977692233	0.25208962708104743	0.2635152620738849	0.2745156711689307	0.2858557987801471	0.29657657562718853	0.3080414977953655	0.3195110419841706	0.33044443178010796	0.34052968079077595	0.3514237834113738	0.3621584263202998	0.37249326444488906	0.38373170760228564	0.39549475010097956	0.4068487437740804	0.4187966670979012	0.430989557515015	0.44173344446519736	0.45265065718893605	0.463248950489331	0.47397434935700067	0.48494009329733523	0.4959959666399191	0.506460221342097	0.516543159342451	0.5280057705003138	0.5400715553501529	0.5516797601578032	0.5624513792317545	0.5731790891097382	0.5833036252957458	0.5938348992970323	0.6041674264113075	0.6142688524941741	0.6246776429488141	0.6350633233003131	0.6461099526016407	0.6566366045822989	0.6669437105831193	0.6760074930349615	0.6854780133020829	0.6955239751374115	0.705731707694726	0.7163092019022943	0.7263181875725975	0.7363918815316951	0.7467868059244506	0.7581269335356668	0.7689355287746436	0.778838207970499
CONTROL_REP2_2 - illumina_universal_adapter	0.00019874688701133168	0.00020799092826767268	0.0002218569901521842	0.00027269921706205973	0.00027732123769023026	0.00030967538208742374	0.00031891942334376475	0.0003651396296254698	0.00041135983590717483	0.0005569534856945458	0.0007557003727058774	0.0010283995897679371	0.0012964767862018263	0.0017170806633653422	0.0021654166642978813	0.0026761499437107216	0.003387941120448979	0.004212971802577414	0.00504262450533402	0.005932363476256842	0.006981562158851547	0.00798685164547863	0.009059160431214188	0.01017306740260328	0.011307773466819139	0.012463278623861764	0.013607228729333964	0.014936059659932983	0.016142407043885483	0.017272491087473175	0.01840488614137495	0.01953265917464855	0.02067198725949258	0.021924554849726784	0.023093926068653924	0.024265608297895147	0.025569018115039227	0.026893227025010076	0.028231301996865438	0.029527778783067265	0.031006825384081824	0.03233103429405268	0.03381239190538132	0.035231352238229666	0.0368883466334288	0.038443656574808166	0.040054430763725585	0.04212509600514597	0.04409638780306069	0.046113899807257115	0.04829780455406768	0.050361536764545814	0.0525107763566451	0.055263189640720634	0.05818661768803847	0.06128337150891271	0.06475682001098285	0.06843825944132065	0.07237391000620784	0.07667932222134866	0.08147929064370373	0.08673452809793358	0.09222779961451424	0.09848832655537118	0.10547219972453681	0.11290440889463499	0.121145471674663	0.13031556060095328	0.1402921921268593	0.15037975214784144	0.1616228173258662	0.1733581277007911	0.18634600566595022	0.2003900153446463
CONTROL_REP2_2 - polya	0.011051251321955675	0.02138146742591675	0.02494504533023621	0.0278615403466118	0.030505336145925325	0.032585245428602055	0.03466515471127878	0.042430149366605226	0.0517111667879716	0.06292881085254141	0.06985953078448308	0.07916596931930439	0.09018948851749103	0.09990728688821952	0.10952802282575644	0.11923195513460041	0.1306691451790083	0.1404216087044481	0.15010705293077936	0.16052739843698977	0.17095467697414243	0.18030502470493137	0.18952364484781742	0.20025597674642936	0.21030887161270018	0.22007520120002447	0.22955034348777398	0.23890069121856292	0.2481008232789363	0.25719464886486176	0.26687084904993674	0.2763991445749102	0.2856293197693667	0.29515530428402614	0.3042421968390093	0.31259418811411344	0.32199768908212634	0.3310591605236546	0.34000045942885043	0.3491266391591731	0.35815806746661827	0.3674159747848438	0.37674321241249187	0.3854510992759651	0.39466971941885115	0.4045377334599952	0.41383492795356014	0.42296110768388284	0.4325009582604267	0.442565408178268	0.4522000101776894	0.46119215130979513	0.47032526407106007	0.47974956413189973	0.4888225906249984	0.49722773513732643	0.5062452973828871	0.5151981513396534	0.5234207260371687	0.5319044449001757	0.5406354418667898	0.5500481868760589	0.5595441282566354	0.5684738721102607	0.5775838747683848	0.5872831850566006	0.5971327110152319	0.6068736194891012	0.6160621964979043	0.6258863013430807	0.6356318318375781	0.6450307107849629	0.6540089858551841	0.6634771951119913
CONTROL_REP3_1 - illumina_universal_adapter	8.536853096835944e-05	9.01112271332683e-05	9.01112271332683e-05	9.01112271332683e-05	9.01112271332683e-05	9.485392329817715e-05	9.485392329817715e-05	9.959661946308601e-05	0.00011382470795781259	0.00012805279645253915	0.00014939492919462902	0.00016125166960690115	0.00019919323892617202	0.0002608482890699872	0.00033436007962607447	0.0004268426548417972	0.0005193252300575199	0.0006023224129434249	0.0006924336400766931	0.0007896589114573247	0.0009177117079098638	0.0010552498966922208	0.0011785599969798511	0.001311355489597299	0.0015176627727708342	0.0016528296134707369	0.001847280156232	0.002051216091323081	0.0022124677609299823	0.0024092896517736995	0.0026345677196068706	0.00288593061634704	0.0030780098110258485	0.0033198873154362003	0.0035641361679290065	0.0038107563685042672	0.004116660271140889	0.004453391698849417	0.004837550088207035	0.005235936566059378	0.005641437088159086	0.006011367389021977	0.0064476954361935915	0.0069385644892616585	0.007488717244391086	0.00801989921486088	0.00861036488739203	0.00938105301418972	0.010206282146883862	0.011114508462463908	0.012210071276557852	0.013315119482981617	0.01450553622037374	0.01588566080436222	0.017517148285090864	0.01936205709324041	0.02151524115210903	0.02393401619621255	0.026658695142952687	0.02971536282123645	0.03344312200685481	0.03750286992401679	0.04225268013317301	0.047336850421955304	0.053016229079433666	0.059345357111504536	0.06629577834117846	0.07385800737612563	0.08272447785642274	0.09213398704760192	0.10243275176970151	0.11375831021150386	0.12630511291577023	0.13993087899755338
