CONTROL_REP3_1_val_1	216.0	170.5	112.0	101.0	102.0	101.5	131.5	170.5	213.5	259.0	315.5	375.0	426.5	536.0	691.5	970.0	1507.0	2401.5	3707.0	5710.5	9054.0	13939.0	20764.0	30694.0	43650.5	59055.5	77386.5	99047.0	123147.0	150522.0	180688.0	213079.0	245605.5	279148.5	316156.5	353094.5	394382.0	436542.5	471831.0	502675.5	534573.0	564078.5	588692.0	616530.0	650333.0	684607.5	713445.0	736996.0	759918.0	778140.5	784974.0	791289.0	800606.0	801169.0	788520.0	766080.5	734647.0	693011.0	645725.0	590212.5	528537.5	462133.5	391580.0	327569.5	267811.0	212263.0	167086.0	132185.5	104159.5	81821.0	64779.5	51057.0	41747.0	35325.5	28783.5	24016.5	21183.5	17958.0	13923.5	10897.5	8687.0	6884.0	5221.0	3489.5	2121.5	1122.5	648.0	314.0	89.0	45.0	30.5	22.5	19.0	18.0	18.0	14.5	14.0	14.0	7.5	3.5	10.5
CONTROL_REP3_2	82.0	72.5	75.0	74.5	70.0	87.0	101.0	107.0	133.5	150.5	162.0	203.0	305.0	431.0	572.5	877.0	1453.0	2383.5	3710.5	5844.5	9203.5	14160.5	21008.5	30203.5	42190.5	56510.0	73749.0	94545.5	116413.0	140044.0	168298.5	201213.0	235991.5	267908.5	299377.5	336733.0	375059.5	409418.5	441626.5	474350.0	505704.0	533749.5	561696.5	590224.0	622295.0	658754.0	686732.0	707523.0	732122.5	751098.0	759492.0	767140.5	777729.0	781536.0	771464.0	750783.5	723690.0	689196.5	641352.5	583814.5	526189.5	468754.0	412710.0	353376.5	293844.5	242154.0	200306.0	169492.0	144305.5	123078.0	105974.5	91879.0	81336.0	73151.5	66048.5	58497.0	50902.0	44945.0	38112.5	30587.5	24068.0	19089.0	14828.5	10596.5	6822.5	3939.5	2102.5	1009.5	520.0	350.5	272.0	226.5	197.0	169.5	146.5	152.0	150.5	159.5	199.0	309.0	1672.0
CONTROL_REP3_2_val_2	963.0	761.0	465.0	331.0	282.0	276.5	281.0	304.5	354.5	392.0	445.0	524.5	640.5	797.5	963.0	1268.0	1857.5	2810.0	4200.5	6375.5	9721.0	14629.0	21470.0	30708.0	42668.0	56989.5	74219.5	94963.5	116833.0	140483.5	168764.5	201641.0	236379.5	268331.0	299793.5	337188.5	375555.5	409957.0	442177.5	474887.5	506273.0	534398.0	562422.5	591015.5	623126.5	659604.5	687700.0	708572.0	733275.5	752373.5	760837.0	768445.5	779011.0	782867.0	772825.0	752217.0	725103.0	690701.0	643139.5	585589.5	527894.5	470545.0	414527.5	355054.5	295347.5	243610.5	201668.0	170809.5	145599.5	124261.5	107057.0	92869.0	82255.0	73975.5	66785.5	59255.0	51664.0	45627.5	38729.0	31169.0	24611.5	19556.5	15241.0	10991.5	7196.5	4293.0	2439.0	1332.5	806.5	579.5	466.5	400.5	352.0	310.0	260.0	243.0	235.5	244.0	261.0	345.0	1704.0
CONTROL_REP4_1	33.0	31.0	29.5	31.5	30.5	31.5	35.5	48.5	59.5	72.5	92.0	118.5	176.0	251.0	415.0	679.5	1124.0	1942.5	3256.0	5136.0	8166.5	12633.5	18842.0	27617.0	39612.0	54116.5	71030.5	90976.5	113380.5	138334.0	166039.0	196440.5	226554.0	256946.0	290248.0	325035.0	363419.0	402426.5	435063.0	462250.5	490345.0	518370.5	542452.5	568150.5	599253.5	630428.5	656962.0	679542.0	699769.5	716051.5	722951.0	727178.5	733588.0	733221.5	722211.5	701334.5	672098.0	633558.0	589275.5	538727.5	482808.0	422378.0	358131.5	299437.0	245452.5	195488.5	154410.0	121830.5	95698.5	75258.0	59227.5	46448.5	37919.0	32222.5	26407.0	22176.5	19835.0	16689.0	12692.0	9885.0	7810.0	6288.0	4832.5	3271.5	1915.0	922.5	573.0	273.5	55.5	20.5	16.5	11.0	3.5	2.5	3.5	1.5	1.5	2.0	2.0	2.0	4.5
CONTROL_REP4_1_val_1	287.0	218.0	126.0	98.0	88.5	92.0	106.0	134.0	174.0	218.0	255.0	297.5	386.5	496.0	683.0	981.5	1436.5	2245.5	3555.5	5427.0	8444.5	12861.5	19025.5	27807.5	39773.0	54220.0	71105.5	91015.0	113354.0	138269.5	165948.5	196282.5	226359.5	256756.0	290083.5	324825.5	363129.5	402121.5	434730.5	461881.5	489950.0	517921.0	541975.5	567700.5	598798.5	629952.0	656451.5	678976.0	699207.5	715458.0	722295.0	726526.5	732932.5	732558.5	721593.5	700764.0	671553.5	633084.0	588888.5	538342.5	482430.0	422065.0	357885.0	299256.0	245339.0	195461.0	154436.5	121887.5	95792.5	75362.5	59308.5	46504.5	37973.5	32285.0	26468.5	22250.5	19914.5	16746.0	12727.5	9919.5	7847.5	6321.0	4861.5	3300.0	1943.5	950.0	599.0	295.0	73.0	35.0	28.5	19.5	9.5	10.5	14.0	14.0	15.0	15.5	11.5	7.5	10.5
CONTROL_REP4_2	59.0	58.5	55.5	60.5	72.0	77.5	78.0	91.0	106.0	112.0	149.0	210.5	257.0	367.5	550.5	819.0	1311.5	2198.5	3513.5	5499.0	8619.0	13207.5	19276.5	27673.0	38759.5	52215.0	68436.5	87447.0	107815.0	129822.5	155533.5	185137.0	217154.0	247159.5	275080.5	308888.5	345092.0	376846.0	406836.0	436283.5	464356.0	491052.5	516872.0	542144.0	571969.5	606316.0	631327.0	650113.5	673530.5	690696.0	697457.0	704335.5	714089.0	717082.0	706797.0	687147.0	662666.0	630610.5	586063.5	533730.5	480002.0	426853.0	376032.0	322384.0	268472.5	221358.0	182803.5	154627.0	132163.0	112855.0	97230.5	84357.5	75121.0	67246.5	60325.5	53852.0	47161.0	41579.5	34922.0	27746.0	21734.0	17326.0	13480.0	9435.0	5984.5	3470.5	1868.0	961.0	466.0	287.0	215.5	185.5	180.0	169.0	160.5	151.5	142.0	162.0	195.0	283.0	1783.0
CONTROL_REP4_2_val_2	921.0	734.5	439.0	312.5	279.0	253.5	243.5	268.5	302.0	339.5	411.5	495.5	571.5	710.0	899.0	1184.0	1712.0	2636.0	3993.0	5990.5	9097.5	13662.0	19718.0	28106.5	39184.0	52627.5	68843.0	87830.0	108186.0	130204.0	155904.0	185541.5	217599.0	247572.0	275516.0	309349.0	345558.5	377345.5	407341.0	436816.5	464884.0	491602.5	517428.0	542754.0	572627.5	606984.5	632050.5	650913.0	674511.0	691869.0	698687.5	705516.0	715197.5	718165.0	707912.5	688371.0	663909.5	631900.5	587674.0	535380.0	481499.5	428322.0	377529.5	323880.5	269847.0	222635.5	184010.0	155869.5	133371.0	113965.5	98292.0	85214.5	75845.5	67966.0	61012.5	54536.5	47812.5	42173.5	35479.5	28251.0	22157.0	17688.5	13831.0	9771.0	6319.5	3795.0	2150.0	1208.5	677.0	466.5	381.0	335.5	310.5	285.5	265.0	246.5	228.0	238.0	247.5	316.5	1816.0
PREECLAMPSIA_REP1_1	51.0	37.5	27.5	26.5	24.5	34.0	42.5	49.0	55.5	73.5	103.5	131.0	183.0	277.0	437.5	699.5	1232.0	2205.5	3386.5	5235.5	8550.5	13342.0	19626.5	28503.5	40881.0	55867.0	73497.0	94183.0	116538.0	142191.5	170896.5	201728.5	234109.5	267808.5	303771.5	341100.0	383197.0	424849.0	459766.0	490981.0	523445.0	554264.0	579824.5	609972.5	644973.5	678035.0	708723.0	732286.0	751658.5	767250.0	772035.5	773501.5	778069.5	774706.0	757674.0	731318.5	697822.0	655630.0	607007.5	552844.5	493467.5	430785.5	364429.5	303768.5	249506.5	199915.5	158928.5	126283.0	101227.5	81044.5	64538.5	51197.5	42621.5	37121.5	31095.5	26909.0	25427.5	21886.5	16133.5	12846.5	10860.0	8992.5	6996.0	4967.5	3034.5	1693.5	1158.5	563.5	116.0	28.0	16.5	10.5	5.5	6.0	3.5	3.5	4.5	2.5	3.0	5.0	7.5
PREECLAMPSIA_REP1_1_val_1	253.0	201.0	123.5	92.5	86.0	97.0	112.5	139.5	167.5	200.5	252.5	309.0	393.5	522.5	696.0	956.5	1518.5	2488.5	3651.5	5500.5	8814.5	13575.0	19807.0	28649.0	40990.5	55945.5	73538.5	94199.0	116541.0	142135.5	170782.5	201581.0	233925.5	267593.5	303522.0	340828.0	382871.5	424483.5	459365.0	490494.0	522955.0	553704.5	579177.5	609244.5	644115.5	676987.5	707392.0	730786.5	749928.0	765159.0	769781.0	771189.0	775726.0	772498.5	755722.0	729638.5	696521.0	654760.0	606339.0	552292.0	493047.5	430419.0	364174.0	303635.5	249402.0	199870.0	158962.0	126394.5	101352.5	81157.5	64649.5	51286.5	42707.0	37205.0	31177.0	26993.0	25514.0	21965.5	16191.0	12893.0	10905.0	9041.5	7040.5	5002.0	3069.5	1729.0	1192.0	594.5	135.0	38.0	27.0	21.5	16.0	14.0	13.5	14.5	14.5	11.0	9.5	11.5	14.5
PREECLAMPSIA_REP1_2	84.0	71.0	56.0	56.0	56.0	68.0	75.5	83.0	106.0	129.0	168.0	218.5	256.5	359.0	567.0	859.0	1379.5	2250.5	3515.0	5507.5	8604.0	13012.5	19305.0	27781.0	38772.5	52666.0	69123.0	88948.5	109278.5	131623.5	158525.5	189855.5	224766.0	256420.0	286369.0	323440.0	362035.5	397060.0	430742.0	462248.5	494536.0	524666.0	552646.0	581520.5	613207.0	648745.5	675954.5	698030.5	722248.0	738528.5	744645.0	748864.0	756944.5	759169.0	744028.5	718261.5	690915.5	654499.5	604840.0	548986.5	492906.0	438650.0	385931.0	329757.0	274817.5	227955.5	189609.5	162514.5	140279.5	120565.5	105577.0	92903.0	84976.5	77437.5	69250.0	61321.5	53140.0	47299.5	39973.5	31810.0	25508.0	21203.5	16859.5	12125.0	8292.0	5190.5	2741.5	1291.0	586.0	367.0	300.5	255.5	208.0	159.5	146.5	157.5	169.0	179.5	213.5	323.0	1973.5
