IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
136,107,173,123	7,13,13,18	109,105,102,126	12,10,9,8	158	149
383,408,407,420	1,0,2,2	351,341,285,323	0,7,10,2	155	149
75,56,70,84	1,0,2,2	70,59,82,101	0,7,10,2	441	149
67,48,64,73	375,400,401,409	59,49,80,95	340,331,283,317	435	149
0,12,7,4	0,2,4,1	5,6,6,8	2,0,0,0	152	149
154,156,96,114	15,11,4,5	118,110,115,115	12,8,13,14	152	149
0,0,0,0	137,140,145,159	1,0,0,0	130,115,121,147	181	149
123,133,134,147	0,0,0,1	138,112,119,130	0,1,0,1	170	149
5,2,4,3	1,3,5,0	2,4,3,8	3,1,0,0	194	149
2,0,0,4	42,42,48,47	7,2,0,1	51,44,49,48	197	149
41,31,34,26	14,1,7,5	34,37,29,29	11,6,10,17	152	149
18,7,4,7	21,20,32,33	13,3,17,22	36,34,26,26	224	149
6,5,0,1	30,45,31,33	0,5,6,4	35,50,44,43	204	149
5,1,0,5	0,0,0,0	5,0,1,0	1,1,0,0	185	149
488,370,375,406	0,0,1,0	579,483,732,554	0,0,0,0	1525	149
32,11,19,19	9,4,5,4	14,14,33,26	8,7,10,11	152	149
31,25,39,27	107,136,128,87	44,43,28,33	114,102,127,82	152	149
128,143,126,132	85,87,95,98	161,123,125,159	96,92,94,141	281	149
1,1,0,0	0,0,4,4	0,2,0,0	4,4,4,4	303	149
1,1,0,1	5,4,2,8	1,0,0,0	4,4,8,4	167	149
7,8,10,6	0,0,1,0	12,7,8,7	0,0,0,0	182	149
0,0,1,0	1,0,0,0	0,0,0,1	1,0,0,2	161	149
127,146,112,103	49,45,51,46	131,131,131,122	28,47,58,24	152	149
0,0,1,1	130,112,125,103	3,1,4,2	118,88,120,105	163	149
200,275,225,237	10,2,9,7	241,221,264,232	11,6,8,7	202	149
241,280,224,244	10,7,7,5	234,238,303,255	4,7,4,6	319	149
2,0,2,1	1,0,0,0	0,0,2,0	0,0,2,0	274	149
155,141,152,154	4,2,6,7	147,164,153,168	1,0,2,10	153	149
406,364,389,403	2,1,1,2	410,369,374,458	0,4,7,5	217	149
255,225,243,256	2,1,1,2	264,205,223,300	0,4,7,5	213	149
147,139,170,146	4,3,3,6	171,157,158,175	2,8,3,2	153	149
398,362,407,395	1,0,1,5	434,362,379,465	2,0,0,2	217	149
255,226,240,255	1,0,1,5	265,213,224,292	2,0,0,2	213	149
13,9,16,12	0,0,0,2	18,16,10,20	0,0,0,0	153	149
251,223,238,249	0,0,0,1	263,207,222,291	3,0,0,0	213	149
705,639,653,718	4,4,4,3	827,643,753,819	1,10,9,1	167	149
339,407,301,378	9,8,8,5	299,281,248,287	7,2,10,12	158	149
131,162,117,134	61,50,52,64	145,140,124,143	60,39,65,51	884	149
145,170,120,138	18,31,15,30	163,151,136,151	21,18,12,15	920	149
160,183,134,164	21,20,24,21	171,158,151,167	26,18,26,11	959	149
75,58,55,68	18,31,15,30	78,50,77,59	21,18,12,15	185	149
90,71,69,94	21,20,24,21	86,57,92,75	26,18,26,11	224	149
33,44,29,56	21,20,24,21	29,25,27,31	26,18,26,11	188	149
2,5,5,5	148,156,137,139	2,1,6,6	161,167,157,162	218	149
24,18,27,28	2,6,11,7	8,15,11,21	4,5,9,3	196	149
37,35,13,28	193,229,209,196	31,34,37,34	277,226,238,230	242	149
82,66,62,82	46,48,59,54	80,54,61,88	78,71,64,53	698	149
15,26,13,26	112,119,142,148	27,30,17,18	173,159,186,195	378	149
16,21,17,9	6,4,5,17	19,16,23,27	11,10,7,11	152	149
47,36,46,43	61,60,70,63	66,63,48,35	69,61,72,76	860	149
3,1,4,3	91,96,129,73	3,6,6,3	99,96,92,94	169	149
51,43,36,51	19,23,15,16	43,34,31,44	16,19,8,7	152	149
11,9,11,10	4,4,5,4	9,11,6,11	2,7,0,2	152	149
27,36,30,19	54,51,74,60	26,29,28,33	81,66,58,80	157	149
6,5,5,3	94,99,78,93	2,11,3,5	94,107,83,100	177	149
1,1,2,1	0,0,1,1	3,0,1,0	0,0,2,1	152	149
21,14,29,28	31,18,31,31	27,22,26,22	27,17,27,10	152	149
102,89,103,99	84,76,90,86	114,91,118,117	119,92,106,111	152	149
144,110,146,146	20,23,28,32	167,160,204,167	33,36,45,34	155	149
0,1,0,1	0,0,0,0	1,1,0,1	0,0,1,0	160	149
1,0,0,1	1,2,3,4	2,3,0,0	3,6,0,6	201	149
0,1,0,0	0,0,0,0	0,0,0,0	2,2,2,0	195	149
6,19,1,2	79,101,79,93	1,5,0,1	90,111,91,75	291	149
7,6,4,10	0,0,0,0	6,4,8,5	0,1,0,0	152	149
3,3,3,4	0,0,0,0	3,2,4,3	2,0,0,0	152	149
149,171,187,187	115,163,150,185	213,199,176,169	167,124,179,175	202	149
28,18,22,17	127,146,81,78	14,13,26,14	94,72,82,74	185	149
21,17,14,14	52,70,46,41	12,10,14,11	49,46,35,56	185	149
25,30,22,19	108,162,73,92	17,11,18,12	91,73,70,69	185	149
6,7,7,19	205,216,268,227	8,14,10,5	198,137,153,177	196	149
45,53,50,43	324,365,319,324	42,47,46,30	330,353,298,349	409	149
778,923,625,581	184,176,196,199	861,745,873,934	212,209,170,173	1596	149
66,99,79,64	35,41,27,29	80,69,42,57	19,30,25,22	152	149
131,105,132,100	3,1,5,3	56,70,57,79	4,1,1,4	155	149
346,436,445,387	3,4,6,4	389,367,384,356	10,6,1,5	152	149
4,1,3,4	33,59,39,34	4,1,4,3	39,24,31,50	579	149
