IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,0,0,1	1,0,0,0	0,0,0,0	0,0,1,0	78	39
41,48,60,8	34,21,37,4	0,0,36,0	0,0,25,0	42	39
2,0,3,0	39,52,31,10	0,0,3,0	0,0,28,0	59	39
0,0,2,0	1,0,1,0	0,0,1,0	0,0,3,0	42	39
26,18,22,8	3,1,0,0	0,0,7,0	0,0,0,0	78	39
28,20,10,4	0,2,2,0	0,0,11,0	0,0,1,0	42	39
61,80,38,5	91,134,120,18	0,1,83,0	0,0,109,0	78	39
2,2,4,2	33,47,49,6	0,0,2,0	1,0,42,0	68	39
1,2,6,0	46,30,34,5	0,0,2,0	1,0,41,0	71	39
25,53,43,8	19,20,17,3	0,0,28,0	0,0,17,0	78	39
9,11,15,10	9,6,6,7	12,9,14,6	7,4,6,3	42	39
20,32,20,11	0,0,0,1	20,13,26,9	0,2,2,0	55	39
62,60,53,39	0,0,0,0	40,42,48,59	0,0,1,2	57	39
57,49,66,47	0,0,0,0	46,38,54,54	0,0,1,0	78	39
50,44,53,44	1,0,0,0	42,35,52,51	0,0,0,0	48	39
25,18,20,20	2,0,0,0	14,13,21,21	0,0,0,0	78	39
44,37,42,29	2,0,0,0	28,20,39,38	0,0,0,0	78	39
19,19,22,9	0,0,0,0	14,8,18,17	0,1,0,0	52	39
36,36,31,27	2,4,6,4	32,28,38,43	15,12,3,6	42	39
365,403,295,314	518,504,593,509	359,281,313,364	570,506,468,550	78	39
13,11,16,20	119,126,147,136	16,8,14,7	80,96,89,89	78	39
8,5,10,7	0,0,4,0	16,8,3,3	0,0,0,1	78	39
37,48,47,48	3,4,0,2	41,63,59,51	3,1,3,1	78	39
62,58,62,68	3,4,0,2	54,77,80,60	3,1,3,1	78	39
69,55,52,55	0,1,0,1	54,68,55,40	0,4,0,1	78	39
1,1,2,0	26,23,34,31	0,2,0,1	23,31,24,18	48	39
0,0,1,0	29,21,26,24	0,0,0,0	12,21,24,14	63	39
87,79,95,79	1,2,5,3	104,105,84,81	2,1,0,2	43	39
8,10,15,13	0,0,1,0	16,16,18,15	0,0,2,0	42	39
40,32,29,22	1,1,2,1	22,26,29,25	1,3,2,0	42	39
4,4,3,3	0,0,0,1	2,3,2,4	0,0,0,1	78	39
1,1,5,2	97,87,90,99	2,0,1,2	82,55,53,70	78	39
31,24,22,12	6,7,2,1	14,15,12,18	1,4,5,6	57	39
