Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
CONTROL_REP1	1.10.1	none	vb	[]	1	['ISR']	1001	394.2710821564976	118.34655372186492	False	False	4096	mapping	False	135598	61	186349	False	['range_factorized', 'gzipped']	[1306, 2349, 3596, 5571, 141249]	01a8d7cca4e4467c41ad2ef47b849c4ec32ca5363b64171a7448443bd57da3f0	2042bf1b2eb8a1e1caa7adf55068c6feed28f6528bbbd3f85ecb40baae828a80	21228f8abdf2d464ae487ae254d1cdf30140e3bb183c197e1a7cdaaacbda02235b1a85719102ed82c4f50b5f7013bf16be4bda4422041f1c4b5e04ef993935cc	88438003ac9b3cdfe576aa482fa05e7fa02c9034917c747ad94df446dcba86b154a8a82ad97b93bc5e4e1d88e63e4ef09f42e56ef568906f3ae9cf98672a5503	d92962890522b9aa68d3755a4df5e4647fdf24dfad1aed286b6805fae6314624	276e4ecfb4a299089ea7a7964f2cb696ca1fd813159bc35bcf3a43f0e3e652ca	0	21161098	15368120	1530720	50059	1795505	5246321	72.62439784551823	quant	Tue Aug 20 14:46:00 2024	Tue Aug 20 14:50:41 2024
CONTROL_REP2	1.10.1	none	vb	[]	1	['ISR']	1001	387.57992742881936	113.21614553141153	False	False	4096	mapping	False	135598	61	189096	False	['range_factorized', 'gzipped']	[1306, 2349, 3596, 5571, 141249]	01a8d7cca4e4467c41ad2ef47b849c4ec32ca5363b64171a7448443bd57da3f0	2042bf1b2eb8a1e1caa7adf55068c6feed28f6528bbbd3f85ecb40baae828a80	21228f8abdf2d464ae487ae254d1cdf30140e3bb183c197e1a7cdaaacbda02235b1a85719102ed82c4f50b5f7013bf16be4bda4422041f1c4b5e04ef993935cc	88438003ac9b3cdfe576aa482fa05e7fa02c9034917c747ad94df446dcba86b154a8a82ad97b93bc5e4e1d88e63e4ef09f42e56ef568906f3ae9cf98672a5503	d92962890522b9aa68d3755a4df5e4647fdf24dfad1aed286b6805fae6314624	276e4ecfb4a299089ea7a7964f2cb696ca1fd813159bc35bcf3a43f0e3e652ca	0	21609448	15843342	1540682	51527	1798692	5308488	73.31673627202323	quant	Tue Aug 20 14:55:12 2024	Tue Aug 20 14:59:54 2024
CONTROL_REP3	1.10.1	none	vb	[]	1	['ISR']	1001	388.47255578993907	112.71757738640548	False	False	4096	mapping	False	135598	61	183462	False	['range_factorized', 'gzipped']	[1306, 2349, 3596, 5571, 141249]	01a8d7cca4e4467c41ad2ef47b849c4ec32ca5363b64171a7448443bd57da3f0	2042bf1b2eb8a1e1caa7adf55068c6feed28f6528bbbd3f85ecb40baae828a80	21228f8abdf2d464ae487ae254d1cdf30140e3bb183c197e1a7cdaaacbda02235b1a85719102ed82c4f50b5f7013bf16be4bda4422041f1c4b5e04ef993935cc	88438003ac9b3cdfe576aa482fa05e7fa02c9034917c747ad94df446dcba86b154a8a82ad97b93bc5e4e1d88e63e4ef09f42e56ef568906f3ae9cf98672a5503	d92962890522b9aa68d3755a4df5e4647fdf24dfad1aed286b6805fae6314624	276e4ecfb4a299089ea7a7964f2cb696ca1fd813159bc35bcf3a43f0e3e652ca	0	21062833	15490981	1492332	49515	1743354	5189771	73.54652149594502	quant	Tue Aug 20 14:50:43 2024	Tue Aug 20 14:55:10 2024
CONTROL_REP4	1.10.1	none	vb	[]	1	['ISR']	1001	385.37673857191487	112.47158529806393	False	False	4096	mapping	False	135598	61	178566	False	['range_factorized', 'gzipped']	[1306, 2349, 3596, 5571, 141249]	01a8d7cca4e4467c41ad2ef47b849c4ec32ca5363b64171a7448443bd57da3f0	2042bf1b2eb8a1e1caa7adf55068c6feed28f6528bbbd3f85ecb40baae828a80	21228f8abdf2d464ae487ae254d1cdf30140e3bb183c197e1a7cdaaacbda02235b1a85719102ed82c4f50b5f7013bf16be4bda4422041f1c4b5e04ef993935cc	88438003ac9b3cdfe576aa482fa05e7fa02c9034917c747ad94df446dcba86b154a8a82ad97b93bc5e4e1d88e63e4ef09f42e56ef568906f3ae9cf98672a5503	d92962890522b9aa68d3755a4df5e4647fdf24dfad1aed286b6805fae6314624	276e4ecfb4a299089ea7a7964f2cb696ca1fd813159bc35bcf3a43f0e3e652ca	0	19328320	14071264	1413083	46653	1637712	4704109	72.80127812453436	quant	Tue Aug 20 14:31:12 2024	Tue Aug 20 14:36:56 2024
PREECLAMPSIA_REP1	1.10.1	none	vb	[]	1	['ISR']	1001	372.564694581217	112.24384301768221	False	False	4096	mapping	False	135598	61	179898	False	['range_factorized', 'gzipped']	[1306, 2349, 3596, 5571, 141249]	01a8d7cca4e4467c41ad2ef47b849c4ec32ca5363b64171a7448443bd57da3f0	2042bf1b2eb8a1e1caa7adf55068c6feed28f6528bbbd3f85ecb40baae828a80	21228f8abdf2d464ae487ae254d1cdf30140e3bb183c197e1a7cdaaacbda02235b1a85719102ed82c4f50b5f7013bf16be4bda4422041f1c4b5e04ef993935cc	88438003ac9b3cdfe576aa482fa05e7fa02c9034917c747ad94df446dcba86b154a8a82ad97b93bc5e4e1d88e63e4ef09f42e56ef568906f3ae9cf98672a5503	d92962890522b9aa68d3755a4df5e4647fdf24dfad1aed286b6805fae6314624	276e4ecfb4a299089ea7a7964f2cb696ca1fd813159bc35bcf3a43f0e3e652ca	0	20374209	14528919	1600286	46475	1848175	5141849	71.31034633050048	quant	Tue Aug 20 14:36:58 2024	Tue Aug 20 14:41:27 2024
PREECLAMPSIA_REP2	1.10.1	none	vb	[]	1	['ISR']	1001	366.7065408710353	104.3147336568439	False	False	4096	mapping	False	135598	61	176905	False	['range_factorized', 'gzipped']	[1306, 2349, 3596, 5571, 141249]	01a8d7cca4e4467c41ad2ef47b849c4ec32ca5363b64171a7448443bd57da3f0	2042bf1b2eb8a1e1caa7adf55068c6feed28f6528bbbd3f85ecb40baae828a80	21228f8abdf2d464ae487ae254d1cdf30140e3bb183c197e1a7cdaaacbda02235b1a85719102ed82c4f50b5f7013bf16be4bda4422041f1c4b5e04ef993935cc	88438003ac9b3cdfe576aa482fa05e7fa02c9034917c747ad94df446dcba86b154a8a82ad97b93bc5e4e1d88e63e4ef09f42e56ef568906f3ae9cf98672a5503	d92962890522b9aa68d3755a4df5e4647fdf24dfad1aed286b6805fae6314624	276e4ecfb4a299089ea7a7964f2cb696ca1fd813159bc35bcf3a43f0e3e652ca	0	21336683	14941217	1732675	49656	1978391	5214103	70.0259595177001	quant	Tue Aug 20 14:41:29 2024	Tue Aug 20 14:45:58 2024
PREECLAMPSIA_REP3	1.10.1	none	vb	[]	1	['ISR']	1001	354.20316282642415	103.35695241125057	False	False	4096	mapping	False	135598	61	185314	False	['range_factorized', 'gzipped']	[1306, 2349, 3596, 5571, 141249]	01a8d7cca4e4467c41ad2ef47b849c4ec32ca5363b64171a7448443bd57da3f0	2042bf1b2eb8a1e1caa7adf55068c6feed28f6528bbbd3f85ecb40baae828a80	21228f8abdf2d464ae487ae254d1cdf30140e3bb183c197e1a7cdaaacbda02235b1a85719102ed82c4f50b5f7013bf16be4bda4422041f1c4b5e04ef993935cc	88438003ac9b3cdfe576aa482fa05e7fa02c9034917c747ad94df446dcba86b154a8a82ad97b93bc5e4e1d88e63e4ef09f42e56ef568906f3ae9cf98672a5503	d92962890522b9aa68d3755a4df5e4647fdf24dfad1aed286b6805fae6314624	276e4ecfb4a299089ea7a7964f2cb696ca1fd813159bc35bcf3a43f0e3e652ca	0	19978606	14685276	1382062	49762	1623261	5024184	73.5050083073864	quant	Tue Aug 20 15:04:19 2024	Tue Aug 20 15:08:32 2024
PREECLAMPSIA_REP4	1.10.1	none	vb	[]	1	['ISR']	1001	357.5486826577783	105.3231787994751	False	False	4096	mapping	False	135598	61	189575	False	['range_factorized', 'gzipped']	[1306, 2349, 3596, 5571, 141249]	01a8d7cca4e4467c41ad2ef47b849c4ec32ca5363b64171a7448443bd57da3f0	2042bf1b2eb8a1e1caa7adf55068c6feed28f6528bbbd3f85ecb40baae828a80	21228f8abdf2d464ae487ae254d1cdf30140e3bb183c197e1a7cdaaacbda02235b1a85719102ed82c4f50b5f7013bf16be4bda4422041f1c4b5e04ef993935cc	88438003ac9b3cdfe576aa482fa05e7fa02c9034917c747ad94df446dcba86b154a8a82ad97b93bc5e4e1d88e63e4ef09f42e56ef568906f3ae9cf98672a5503	d92962890522b9aa68d3755a4df5e4647fdf24dfad1aed286b6805fae6314624	276e4ecfb4a299089ea7a7964f2cb696ca1fd813159bc35bcf3a43f0e3e652ca	0	20613945	15313353	1383204	49274	1627201	5132378	74.2863774983391	quant	Tue Aug 20 14:59:57 2024	Tue Aug 20 15:04:17 2024
