Sample	Reads passing filters
CONTROL_REP1_1	21192945.0
CONTROL_REP1_2	21192945.0
CONTROL_REP2_1	21635559.0
CONTROL_REP2_2	21635559.0
CONTROL_REP3_1	21085053.0
CONTROL_REP3_2	21085053.0
CONTROL_REP4_1	19348588.0
CONTROL_REP4_2	19348588.0
PREECLAMPSIA_REP1_1	20414332.0
PREECLAMPSIA_REP1_2	20414332.0
PREECLAMPSIA_REP2_1	21356444.0
PREECLAMPSIA_REP2_2	21356444.0
PREECLAMPSIA_REP3_1	20085967.0
PREECLAMPSIA_REP3_2	20085967.0
PREECLAMPSIA_REP4_1	20695417.0
PREECLAMPSIA_REP4_2	20695417.0
