IncLevel1	IncLevel2	IncLevelDifference
0.383,0.392,0.322,0.407	0.411,0.347,0.468,0.372	-0.023
1.0,1.0,0.684,0.778	1.0,0.818,1.0,0.867	-0.056
0.467,0.241,0.571,0.238	0.655,0.824,0.81,0.579	-0.338
0.277,0.355,0.444,0.128	0.379,0.302,0.211,0.188	0.031
0.75,0.684,0.923,0.556	0.647,0.684,1.0,0.778	-0.049
0.137,0.178,0.216,0.103	0.17,0.067,0.099,0.108	0.048
0.902,0.789,0.867,0.926	0.926,0.918,0.937,0.879	-0.044
0.854,0.889,0.925,0.917	0.952,0.85,0.928,0.963	-0.027
0.242,0.327,0.412,0.269	0.275,0.29,0.32,0.304	0.015
0.111,0.265,0.282,0.223	0.329,0.221,0.27,0.288	-0.057
0.706,0.913,0.829,0.857	0.863,0.69,0.673,0.867	0.053
0.56,0.885,0.705,0.677	0.726,0.864,0.83,0.938	-0.133
1.0,0.984,1.0,1.0	1.0,0.978,1.0,0.978	0.007
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.958	0.01
1.0,0.956,0.936,0.98	0.99,1.0,0.99,1.0	-0.027
0.953,0.962,0.951,0.967	0.957,0.948,0.941,0.948	0.01
0.684,0.734,0.777,0.751	0.679,0.708,0.875,0.807	-0.031
0.0,0.5,0.647,0.6	0.2,0.125,0.167,1.0	0.064
NA,0.333,1.0,NA	1.0,NA,NA,NA	-0.334
1.0,1.0,0.571,0.9	1.0,1.0,0.846,1.0	-0.094
0.0,NA,NA,NA	NA,NA,1.0,NA	-1.0
0.619,1.0,1.0,1.0	0.92,0.889,1.0,1.0	-0.048
1.0,0.2,NA,1.0	NA,1.0,0.2,0.0	0.333
0.333,NA,NA,NA	0.333,NA,NA,0.0	0.167
1.0,1.0,1.0,0.857	1.0,NA,1.0,1.0	-0.036
1.0,0.941,0.983,1.0	0.978,0.934,0.976,0.981	0.014
1.0,1.0,0.976,1.0	0.978,1.0,1.0,1.0	-0.0
0.167,0.412,0.375,0.6	0.571,0.4,0.6,0.214	-0.058
0.333,1.0,1.0,1.0	1.0,1.0,0.5,0.5	0.083
0.882,0.852,0.927,0.914	0.88,0.789,0.908,0.879	0.03
0.697,0.722,0.603,0.604	0.597,0.744,0.689,0.672	-0.019
0.852,1.0,1.0,1.0	0.909,1.0,1.0,0.895	0.012
0.889,0.931,1.0,1.0	0.871,1.0,1.0,1.0	-0.013
0.135,0.371,0.436,0.302	0.213,0.176,0.261,0.193	0.1
0.171,0.368,0.081,0.087	0.184,0.172,0.176,0.2	-0.006
0.983,0.986,0.966,0.964	0.985,0.98,0.959,0.922	0.013
0.861,0.838,0.83,0.807	0.929,0.925,1.0,0.901	-0.105
0.882,0.792,0.87,0.826	0.833,0.905,0.802,0.706	0.031
0.818,0.636,0.778,0.733	0.875,0.714,0.6,0.923	-0.037
0.9,0.538,0.875,0.6	0.875,0.789,0.75,0.923	-0.106
0.973,0.932,0.901,0.881	0.861,0.921,0.901,0.945	0.015
0.125,0.019,0.057,0.079	0.118,0.175,0.124,0.136	-0.068
0.962,0.977,0.948,0.975	0.904,0.967,0.892,0.916	0.046
