ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
235	4,6,3,0	0,0,0,1	4,5,2,2	0,0,0,0	48	39
236	0,0,1,1	0,5,0,0	0,1,0,0	1,0,0,1	42	39
238	7,14,21,11	77,84,91,79	19,18,16,14	83,53,45,54	78	39
239	0,4,1,1	0,0,0,0	0,0,0,4	2,0,0,0	42	39
241	35,35,33,40	15,20,8,16	29,28,29,40	15,11,22,9	42	39
242	75,86,87,88	3,4,0,4	62,62,54,84	3,3,5,4	78	39
248	15,7,7,10	2,0,4,1	5,5,9,1	3,1,2,0	42	39
249	0,0,0,0	0,0,0,2	0,0,3,0	0,0,0,0	42	39
250	539,481,459,456	1528,1296,1317,1358	430,405,498,467	1486,1339,1402,1494	78	39
251	7,13,13,5	87,85,117,103	8,6,6,5	102,109,134,139	70	39
252	16,22,25,13	36,38,38,27	16,16,19,25	48,48,27,48	63	39
253	0,4,0,1	43,72,68,49	2,1,1,1	88,46,66,70	78	39
254	37,47,46,42	0,7,6,6	41,35,47,50	2,6,6,3	43	39
255	16,50,34,36	2,4,8,2	27,41,28,45	3,3,3,8	43	39
256	26,25,31,27	4,4,7,12	27,24,28,28	7,1,2,4	43	39
257	1,0,0,2	0,0,0,1	0,0,0,0	1,0,0,0	43	39
258	3,3,1,0	66,66,79,65	4,4,4,2	80,81,97,80	75	39
259	73,97,90,85	0,0,0,3	60,43,43,40	1,0,1,5	78	39
260	55,50,42,49	0,5,1,1	22,24,45,22	0,0,0,5	76	39
261	4,7,2,4	0,0,2,0	5,6,4,8	1,0,0,1	42	39
264	143,135,125,145	2,1,3,1	118,122,127,131	1,0,1,1	42	39
267	1,0,0,2	50,46,54,50	0,0,0,1	77,67,57,64	58	39
269	5,5,4,7	26,23,35,25	7,7,6,1	24,26,24,21	42	39
270	5,1,0,2	22,25,35,27	1,0,4,4	34,55,37,34	78	39
271	32,42,51,38	69,82,67,72	57,65,44,57	89,98,75,92	78	39
272	6,21,17,13	117,147,151,152	3,7,9,7	113,122,138,125	78	39
273	98,97,106,103	12,12,11,3	118,97,84,108	20,6,15,14	43	39
274	1,1,2,0	10,11,10,12	1,0,3,0	5,5,9,15	59	39
275	3,7,9,5	2,2,1,3	11,3,10,9	5,7,9,13	75	39
276	3,5,8,4	1,2,3,0	9,3,7,9	0,2,0,3	43	39
277	1,4,4,1	2,2,1,3	2,2,3,3	5,7,9,13	71	39
278	244,218,187,271	26,17,22,19	217,203,236,243	19,34,24,23	43	39
279	47,71,51,35	13,26,20,18	45,27,41,35	9,9,14,17	42	39
280	33,47,53,27	65,102,99,86	40,34,44,39	110,102,84,99	42	39
281	129,135,152,99	18,18,19,37	146,148,145,179	40,29,35,40	78	39
282	5,4,6,4	0,1,0,0	8,19,7,2	2,0,0,0	76	39
283	19,16,16,25	4,3,3,1	7,10,15,24	4,0,5,2	42	39
284	15,15,10,12	82,87,81,99	10,15,9,17	80,90,76,94	78	39
285	1,1,3,3	7,7,4,2	3,5,0,1	3,5,5,9	77	39
286	3,1,3,4	38,46,41,51	2,5,0,1	48,47,38,50	77	39
287	0,5,6,1	1,0,0,0	0,1,0,1	0,0,4,0	43	39
288	38,24,23,31	1,5,1,2	22,21,24,28	0,0,1,6	42	39
289	25,27,22,26	16,13,22,31	18,24,20,28	11,13,14,17	78	39
290	9,11,10,12	0,0,0,0	9,17,9,18	0,0,3,0	78	39
291	5,5,3,5	5,1,1,0	1,3,5,2	8,2,2,2	78	39
292	11,14,10,3	3,1,2,0	6,17,9,7	0,0,4,0	78	39
293	16,6,1,7	1,0,0,0	8,5,4,2	0,0,0,0	78	39
294	74,90,103,67	10,30,14,10	91,64,66,61	12,18,15,12	78	39
295	16,20,30,13	2,0,1,2	13,18,6,9	0,1,0,0	78	39
296	42,85,48,59	7,5,10,2	42,43,39,42	11,3,6,9	78	39
297	0,2,1,1	0,0,0,0	3,4,6,2	0,0,0,1	78	39
298	7,8,3,10	161,170,181,145	4,4,7,10	156,140,119,154	42	39
299	12,3,3,6	16,19,9,27	3,5,2,2	19,11,17,14	61	39
300	69,98,88,72	54,53,48,40	96,76,96,94	54,43,49,45	78	39
303	13,26,18,25	1,2,7,3	21,14,12,15	0,2,0,1	42	39
304	31,28,26,26	4,2,0,2	11,14,21,35	3,1,0,0	44	39
305	8,16,15,13	27,34,24,25	12,11,14,25	21,12,16,28	78	39
306	23,15,12,14	42,40,34,37	24,12,11,16	60,43,44,46	78	39
307	49,44,48,45	0,3,1,0	32,14,18,29	0,0,0,0	47	39
308	47,37,49,38	6,11,9,7	52,32,42,43	10,9,11,5	43	39
310	3,1,5,4	312,277,276,239	6,0,2,2	373,303,306,323	78	39
311	5,4,5,8	65,51,64,56	8,2,4,4	88,58,87,74	78	39
312	314,280,276,243	65,51,64,56	375,305,308,325	88,58,87,74	43	39
314	2,2,5,3	0,0,0,0	5,6,4,3	1,1,0,1	42	39
315	66,62,58,57	6,1,5,2	41,43,48,56	2,7,5,9	42	39
316	5,5,4,8	12,15,15,16	8,2,0,5	17,16,13,18	42	39
317	4,5,2,3	10,20,16,14	12,8,4,2	24,19,25,19	78	39
318	6,2,12,1	11,14,5,10	2,1,3,6	11,11,6,10	78	39
320	51,37,45,38	3,3,1,3	48,39,38,45	3,2,2,7	78	39
321	315,244,299,274	4,0,1,7	286,239,329,304	0,3,2,1	45	39
322	345,271,334,306	0,0,0,1	321,265,359,335	0,0,0,0	62	39
323	34,27,36,39	0,0,0,1	35,29,32,32	0,0,0,0	56	39
324	24,50,38,31	42,43,53,58	28,24,18,28	47,40,29,56	78	39
325	180,129,140,118	24,21,23,25	152,119,119,173	20,20,21,17	69	39
337	63,82,71,52	1,0,1,2	69,51,37,56	0,0,5,3	78	39
338	9,17,11,10	0,0,0,1	13,10,12,10	0,0,2,0	58	39
339	64,104,76,75	9,7,7,11	52,52,62,67	5,2,8,5	58	39
340	17,32,17,19	15,12,15,22	15,23,27,15	27,10,21,18	78	39
341	8,7,0,5	28,28,42,41	5,8,5,4	38,48,39,32	69	39
342	6,1,0,1	0,1,0,0	7,1,3,3	0,0,0,0	78	39
343	0,1,0,2	32,22,29,15	1,1,1,1	28,35,16,17	42	39
344	25,28,16,26	12,9,11,13	30,37,44,40	10,11,14,14	44	39
345	7,10,10,6	5,8,4,0	18,12,19,10	11,4,5,16	42	39
346	28,15,10,15	5,8,4,0	26,28,24,41	11,4,5,16	78	39
347	28,15,10,15	7,10,10,6	26,27,24,41	18,11,19,10	78	39
348	6,6,6,4	18,19,20,10	7,6,2,5	22,14,14,21	78	39
350	60,32,51,54	2,1,3,4	49,32,41,35	4,2,1,2	78	39
351	10,16,7,10	6,9,11,16	14,12,10,7	5,5,10,9	78	39
352	9,12,6,4	0,0,1,0	10,7,6,7	0,0,1,0	78	39
353	4,1,5,3	333,328,259,324	3,4,3,6	349,361,332,363	76	39
355	59,52,52,50	5,6,5,5	42,50,49,57	4,2,1,3	42	39
358	11,8,16,13	72,63,72,75	12,15,10,12	86,80,78,86	78	39
359	5,2,0,4	0,0,0,3	1,7,3,4	0,0,0,0	43	39
360	47,62,51,41	7,8,4,15	51,35,40,31	12,9,13,20	43	39
361	2,4,9,2	19,16,15,8	1,2,2,6	20,10,16,19	68	39
362	0,0,0,0	9,6,7,12	0,0,1,0	16,8,12,15	78	39
363	19,7,1,10	21,29,35,27	4,3,4,12	17,21,15,17	78	39
364	18,18,18,24	0,0,0,1	23,27,33,20	0,2,0,0	78	39
365	8,10,11,10	0,0,0,1	12,18,9,17	0,2,0,0	78	39
366	0,1,4,3	10,8,8,15	3,4,2,9	12,10,24,8	53	39
367	7,3,7,5	5,2,1,1	10,3,4,6	3,1,0,2	78	39
368	17,6,19,13	260,215,239,227	13,19,15,16	228,228,233,244	44	39
369	4,9,11,6	0,0,0,0	2,10,7,11	1,0,0,0	78	39
370	4,9,11,6	0,0,1,0	2,10,7,11	0,1,0,2	78	39
371	7,16,18,12	1,1,0,0	11,19,17,15	0,1,1,0	78	39
372	0,0,0,0	0,0,1,0	1,0,0,0	0,1,0,2	42	39
373	6,8,12,11	1,1,0,0	12,18,15,12	0,1,1,0	78	39
374	6,8,13,11	1,1,0,0	11,19,15,14	0,1,1,0	78	39
376	23,17,10,12	0,1,1,2	15,17,29,20	1,0,0,0	78	39
377	15,13,7,9	2,0,2,1	10,7,7,7	6,3,0,3	78	39
378	37,28,13,15	2,0,2,1	24,21,30,25	6,3,0,3	78	39
379	28,31,45,40	6,6,7,9	33,34,35,29	8,11,5,5	48	39
381	5,3,3,4	56,43,54,39	7,5,5,6	65,36,58,51	78	39
384	28,24,23,37	3,0,0,0	18,14,18,19	0,0,0,0	78	39
385	1,4,5,6	1,0,0,2	6,4,7,7	0,0,0,0	42	39
386	1,3,5,5	0,0,0,0	7,3,7,7	0,1,0,0	42	39
387	177,180,170,163	47,40,49,45	148,117,161,164	54,39,65,72	42	39
389	6,6,1,3	0,0,0,0	1,2,3,2	0,0,0,1	68	39
390	22,22,9,17	0,0,0,0	25,11,20,14	1,0,0,0	68	39
391	17,12,15,17	2,3,1,2	9,15,15,14	3,3,0,1	43	39
392	1,0,0,1	3,3,1,1	0,1,2,1	2,1,3,0	78	39
393	0,0,1,0	1,4,0,0	0,1,0,1	1,0,5,2	78	39
394	32,45,60,46	5,16,12,11	41,32,23,52	13,8,11,12	63	39
395	9,14,10,9	0,0,0,0	8,7,17,10	0,1,0,0	54	39
396	64,74,61,74	2,12,3,6	73,70,56,75	8,5,12,5	66	39
397	14,15,13,15	2,0,0,3	18,6,20,21	3,3,4,2	66	39
400	159,150,135,143	10,8,5,5	160,145,129,132	3,10,4,2	78	39
401	112,95,82,103	1,3,2,2	122,92,99,101	0,2,5,2	78	39
402	133,158,114,139	8,14,11,20	116,120,110,127	20,8,11,13	43	39
405	91,180,151,116	16,10,19,20	164,156,155,173	20,32,20,21	78	39
406	1,1,1,0	1,0,1,3	0,1,1,0	4,3,3,4	42	39
407	6,19,12,10	57,66,57,54	10,22,12,17	76,61,61,58	42	39
408	4,9,2,1	42,29,35,32	0,1,0,3	22,29,30,23	78	39
409	48,51,57,44	12,9,13,20	53,49,37,57	15,16,27,6	42	39
410	1,1,0,0	0,0,0,1	0,1,2,1	0,0,0,0	44	39
411	20,22,12,19	1,2,2,0	17,19,23,23	2,1,1,2	44	39
412	10,24,10,14	36,42,59,37	18,8,6,10	21,24,30,39	51	39
413	1,0,0,1	4,9,5,2	1,1,3,3	4,9,10,3	78	39
414	0,0,1,0	3,3,0,0	0,0,0,0	0,0,0,1	75	39
417	4,0,0,2	73,38,67,58	2,1,2,1	68,83,75,91	53	39
418	0,0,0,1	2,0,0,0	0,0,1,1	0,0,0,0	42	39
419	1,0,0,1	0,0,0,1	0,2,0,2	0,0,2,0	42	39
420	196,157,167,162	18,14,8,15	211,187,193,178	13,14,16,14	42	39
421	2,4,0,2	2,2,3,2	4,1,0,2	5,6,8,6	59	39
422	106,137,157,126	83,69,74,59	181,156,136,138	51,62,44,56	78	39
423	0,1,0,0	0,1,0,1	0,0,0,0	0,0,1,2	57	39
424	1,1,0,1	0,0,0,0	0,0,0,1	0,0,1,0	46	39
426	0,0,0,2	0,0,0,0	0,4,3,0	0,1,2,0	78	39
427	8,7,6,4	16,12,9,19	12,8,14,10	12,17,12,10	78	39
428	3,3,6,4	19,31,21,22	3,3,3,1	24,23,16,29	78	39
431	18,15,7,6	0,0,1,0	8,2,7,5	0,0,0,2	42	39
432	9,16,16,23	9,5,14,10	24,12,25,10	4,4,14,7	78	39
433	6,9,11,16	0,0,0,0	12,5,16,5	1,1,1,0	78	39
435	0,1,0,0	2,0,0,0	0,1,0,0	0,0,0,1	78	39
438	2,5,5,3	124,93,84,106	4,1,2,4	100,81,113,108	61	39
439	14,4,6,6	96,84,86,112	6,3,5,7	100,84,95,119	78	39
440	5,3,9,6	3,2,3,5	6,0,1,2	6,3,5,5	45	39
441	5,3,9,7	0,0,1,2	6,0,1,4	2,0,0,0	48	39
442	3,2,3,6	0,0,1,2	6,3,5,7	2,0,0,0	42	39
443	7,3,4,1	0,2,2,0	2,0,4,0	1,0,1,0	45	39
444	7,3,4,2	0,0,0,0	2,0,4,2	0,0,2,0	48	39
445	0,2,2,1	0,0,0,0	1,0,1,2	0,0,2,0	42	39
446	0,4,1,2	15,5,13,16	1,2,6,2	17,9,5,16	42	39
448	0,1,1,1	4,6,4,2	0,1,0,1	4,6,6,4	76	39
450	1,2,1,3	16,11,17,22	1,0,1,2	15,16,26,25	52	39
451	2,2,2,0	18,12,9,12	1,1,2,4	14,22,25,11	78	39
456	1,11,4,4	105,113,90,122	2,9,5,5	88,93,72,94	78	39
457	1,2,1,0	139,120,146,123	1,1,3,0	106,114,99,114	63	39
460	6,6,7,4	0,0,0,0	1,2,6,4	0,1,0,0	42	39
461	8,16,6,6	0,0,0,1	2,5,5,5	0,0,2,0	74	39
464	6,10,2,6	0,0,0,0	12,9,12,4	0,0,0,1	78	39
