IncLevel1	IncLevel2	IncLevelDifference
0.078,0.048,0.08,0.077	0.072,0.065,0.055,0.071	0.005
0.951,0.969,0.939,0.904	0.988,1.0,0.974,0.897	-0.024
0.945,0.964,0.932,0.892	0.987,1.0,0.971,0.885	-0.028
0.533,0.432,0.603,0.432	0.603,0.222,0.432,0.603	0.035
0.975,0.984,0.989,0.97	1.0,0.949,0.913,0.946	0.028
0.02,0.027,0.026,0.025	0.069,0.042,0.034,0.02	-0.017
0.662,0.0,0.246,0.219	0.0,0.282,0.0,0.495	0.088
NA,1.0,1.0,NA	NA,0.0,NA,NA	1.0
NA,NA,NA,1.0	NA,0.0,NA,NA	1.0
0.93,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.017
0.787,0.755,0.87,0.722	0.951,0.942,0.799,0.818	-0.094
0.227,NA,1.0,NA	1.0,0.128,1.0,1.0	-0.168
0.9,0.954,0.928,0.847	0.948,0.958,0.793,0.838	0.023
0.482,0.545,0.455,0.526	0.565,0.489,0.508,0.51	-0.016
0.188,0.595,0.428,0.149	0.631,0.471,0.662,0.462	-0.217
0.964,0.964,0.942,0.956	0.981,0.944,0.96,0.97	-0.007
0.309,0.294,0.162,0.257	0.223,0.331,0.295,0.181	-0.002
0.188,0.126,0.128,0.273	0.091,0.116,0.21,0.214	0.021
0.77,0.804,0.752,0.809	0.773,0.725,0.736,0.673	0.057
0.489,0.538,0.454,0.531	0.51,0.378,0.434,0.341	0.087
1.0,1.0,1.0,1.0	0.982,1.0,1.0,1.0	0.004
0.866,0.967,0.84,0.808	0.95,0.825,0.937,0.982	-0.053
0.704,1.0,0.754,0.852	0.477,0.76,0.532,0.802	0.185
0.142,0.122,0.029,0.107	0.121,0.113,0.0,0.138	0.007
0.206,0.598,0.318,0.326	0.389,0.453,0.453,0.332	-0.045
0.966,0.966,0.948,0.976	0.932,1.0,0.972,1.0	-0.012
1.0,1.0,0.974,0.977	1.0,1.0,0.946,0.958	0.012
0.761,0.656,0.779,0.766	0.699,0.682,0.78,0.681	0.03
0.689,0.532,0.717,0.655	1.0,0.416,0.655,1.0	-0.119
0.536,0.511,0.557,0.487	0.511,0.454,0.554,0.547	0.006
0.707,0.67,0.645,0.66	0.657,0.607,0.697,0.569	0.038
0.703,0.619,0.818,0.792	0.673,0.74,0.851,0.723	-0.014
0.566,0.49,0.762,0.572	0.616,0.286,0.186,0.546	0.189
0.021,0.051,0.025,0.03	0.014,0.034,0.012,0.012	0.014
0.901,0.971,0.922,0.932	0.943,0.988,0.909,0.962	-0.019
0.367,0.179,0.258,0.635	0.0,0.225,0.567,0.567	0.02
0.009,0.027,0.009,0.016	0.01,0.018,0.017,0.049	-0.008
0.306,0.217,0.303,0.327	0.274,0.305,0.33,0.315	-0.018
0.487,0.513,0.552,0.476	0.513,0.482,0.462,0.612	-0.01
0.075,0.0,0.102,0.044	0.072,0.111,0.015,0.045	-0.006
0.0,0.0,0.0,0.197	0.0,0.0,0.164,0.164	-0.033
0.953,0.962,0.985,0.973	0.89,1.0,0.98,0.96	0.011
0.014,0.057,0.046,0.022	0.02,0.029,0.042,0.005	0.011
1.0,1.0,0.329,1.0	1.0,1.0,1.0,1.0	-0.168
0.974,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.006
0.0,0.034,0.023,0.097	0.17,0.104,0.129,0.037	-0.072
0.017,0.027,0.017,0.022	0.08,0.041,0.11,0.03	-0.045
1.0,0.389,0.298,0.057	0.0,0.124,0.46,1.0	0.04
0.392,0.314,0.401,0.29	0.264,0.409,0.399,0.411	-0.022
0.877,0.833,0.864,0.792	0.847,0.793,0.871,0.804	0.013
0.0,0.493,0.0,0.0	0.0,0.0,0.0,0.196	0.074
0.962,0.929,0.96,0.963	0.975,0.941,0.951,0.979	-0.008
0.55,0.509,0.577,0.571	0.526,0.399,0.569,0.641	0.018
0.697,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.076
0.847,0.922,0.887,0.915	1.0,0.786,0.806,1.0	-0.005
0.113,0.114,0.119,0.081	0.07,0.101,0.109,0.096	0.013
0.072,0.068,0.085,0.058	0.038,0.068,0.073,0.055	0.012
0.196,0.21,0.321,0.398	0.489,0.587,0.422,0.21	-0.146
1.0,0.481,NA,NA	0.0,0.481,NA,NA	0.5
0.112,0.132,0.118,0.095	0.075,0.028,0.12,0.218	0.004
0.808,0.869,0.928,0.842	0.93,1.0,1.0,0.792	-0.069
0.215,1.0,0.027,0.155	1.0,0.084,0.155,0.215	-0.014
0.206,0.193,0.158,0.148	0.208,0.165,0.142,0.176	0.004
0.962,1.0,0.939,0.95	0.873,0.866,1.0,0.952	0.04
0.119,0.128,0.115,0.12	0.093,0.045,0.064,0.133	0.037
0.338,0.297,0.252,0.252	0.245,0.237,0.28,0.271	0.027
0.857,0.881,0.894,0.812	0.764,0.942,0.838,0.749	0.038
0.934,0.953,0.965,0.931	0.916,0.981,0.935,0.906	0.011
0.967,0.912,0.981,0.962	0.967,1.0,0.976,0.974	-0.024
1.0,1.0,1.0,0.493	NA,1.0,1.0,1.0	-0.127
0.13,0.162,0.093,0.128	0.132,0.157,0.145,0.163	-0.021
1.0,1.0,1.0,1.0	0.773,1.0,0.892,1.0	0.084
0.948,0.951,0.925,1.0	0.958,0.944,0.946,1.0	-0.006
