IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
21,1,5,0	20,26,20,3	0,0,5,0	0,0,28,0	722	149
9,25,22,1	3,13,12,0	0,0,17,0	0,0,10,0	156	149
17,18,16,9	18,36,17,0	0,0,16,0	0,0,19,0	313	149
67,51,49,49	1,0,0,1	63,54,38,71	0,0,0,1	599	149
9,27,21,16	0,0,2,0	22,6,14,15	0,0,0,0	288	149
0,2,1,2	10,21,19,15	3,4,3,3	17,25,13,21	342	149
9,29,22,18	17,16,16,8	25,10,17,18	14,5,15,11	481	149
17,43,47,31	14,3,3,4	46,23,28,38	11,2,8,5	541	149
19,48,40,31	17,16,16,8	39,31,27,36	14,5,15,11	288	149
27,62,65,44	14,3,3,4	60,44,38,56	11,2,8,5	348	149
25,30,41,21	14,3,3,4	35,18,26,31	11,2,8,5	209	149
3,1,3,2	29,26,20,19	1,2,5,4	11,15,22,18	158	149
0,1,0,0	1,1,0,0	0,0,2,0	2,1,1,0	158	149
2,0,0,0	0,0,0,1	0,0,0,0	1,1,1,0	185	149
37,37,39,27	0,0,0,0	37,32,59,48	0,1,4,2	202	149
336,321,316,345	2,4,2,1	259,267,240,265	2,2,5,2	511	149
27,34,40,17	1,0,0,0	39,25,28,37	0,3,2,1	498	149
50,29,31,44	3,2,0,2	25,16,22,23	0,3,6,4	526	149
0,0,1,0	1,1,1,0	1,0,1,0	3,1,0,0	249	149
23,25,24,19	2,0,0,1	30,21,18,29	0,0,3,0	316	149
33,38,29,23	1,0,0,0	33,27,22,30	0,0,0,1	224	149
23,22,23,18	10,1,4,6	31,22,25,34	1,2,6,3	316	149
1,5,9,0	71,70,70,93	3,5,6,2	70,69,89,69	316	149
65,60,37,75	1,0,2,0	77,43,53,49	0,2,0,2	761	149
2,0,0,5	19,18,32,23	5,4,5,7	24,31,17,34	154	149
0,0,0,0	0,2,0,0	0,2,0,1	0,0,0,0	158	149
2,3,2,7	0,0,0,4	2,1,2,8	2,0,0,1	210	149
30,14,11,16	6,6,3,3	22,15,18,11	2,0,2,3	193	149
33,27,38,37	79,78,75,99	54,50,34,44	103,105,60,118	158	149
25,36,48,20	0,0,1,0	20,31,42,36	0,0,0,2	176	149
7,6,4,13	0,0,0,1	4,10,2,2	0,0,0,0	396	149
7,5,4,15	0,0,4,0	4,10,2,2	0,1,1,2	396	149
2,7,1,7	14,10,11,11	0,2,0,1	5,6,1,6	157	149
13,6,4,23	14,10,11,11	8,18,9,2	5,6,1,6	396	149
13,6,4,19	2,7,1,3	8,18,9,2	0,2,0,1	388	149
22,47,44,44	27,26,20,21	31,27,19,34	19,19,5,13	290	149
21,22,11,12	80,65,74,67	22,15,14,12	58,41,92,77	158	149
