ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
4248	230,227,214,208	161,124,117,117	202,178,204,250	117,112,126,152	181	93	0.690986402134682	0.931538811602771
4249	75,105,76,81	309,342,339,340	101,73,75,70	342,338,340,348	100	306	0.38403531791435	0.789052540713513
4250	67,72,77,74	68,101,86,92	54,64,64,62	100,67,69,86	114	100	0.478612359488445	0.844195939604863
4251	8,11,5,9	68,101,82,92	11,6,9,8	100,67,69,86	114	100	0.650604449608513	0.91584438629427
4252	60,51,57,65	101,121,92,78	51,51,47,79	86,94,89,123	113	114	0.94482170491868	0.999202115572178
4253	70,81,82,71	91,115,82,73	69,72,56,74	79,86,86,110	150	114	0.227063593456029	0.687662603871818
4254	190,195,189,211	10,19,12,14	188,171,160,198	27,11,12,6	113	209	0.999202115572178	0.999202115572178
4255	7,5,4,3	67,80,69,81	5,4,0,4	96,64,58,67	109	113	0.310755488723964	0.745016918595715
4256	90,106,94,85	67,80,69,81	87,89,80,92	93,63,56,67	150	113	0.944577675042317	0.999202115572178
4257	1144,1089,1057,1036	96,89,91,86	1087,977,969,1073	87,76,69,111	1318	129	0.935531465821157	0.999202115572178
4258	1089,1041,1018,978	96,89,91,86	1049,953,928,1020	87,76,69,111	1455	129	0.855600131428775	0.99179122453625
4259	1118,1068,1031,1015	96,89,91,86	1087,986,957,1050	87,76,69,111	1589	129	0.790012431141665	0.966795521814952
4260	0,0,5,1	0,1,4,0	1,1,1,5	5,2,3,3	124	151	0.847517423791565	0.989249249652095
4261	25,31,27,42	67,70,79,54	23,24,24,25	69,52,68,72	120	165	0.258276743622126	0.7114644144194
4262	186,225,183,167	131,138,129,154	195,164,140,178	124,108,103,130	194	144	0.558198322969573	0.879127148384213
4263	55,54,67,53	64,76,64,58	90,72,87,66	76,62,69,77	211	140	0.0503689412212558	0.464905728720078
4265	697,725,676,702	123,114,73,111	648,652,613,596	101,130,90,106	762	188	0.168303978307916	0.635012418217596
4266	65,72,63,58	683,738,694,684	57,32,42,55	686,705,630,601	122	762	0.083701396339987	0.519501803244201
4267	6,3,4,7	77,71,53,77	2,5,0,3	54,54,69,47	185	122	0.204069076839196	0.667301150535337
4268	103,123,104,114	77,71,53,77	116,78,96,111	54,54,69,47	188	122	0.416613729226055	0.805039921785107
4269	119,115,112,109	74,63,88,69	115,91,115,106	68,63,54,76	117	101	0.600257980416583	0.89765053637873
4270	3,0,0,0	74,63,88,69	0,0,0,0	68,63,54,76	183	101	0.439653869227796	0.820930871074414
4271	2,1,0,2	394,395,347,378	0,0,3,0	350,307,329,349	142	243	0.271066515339396	0.721876089440927
4272	14,16,19,16	397,394,349,380	11,8,14,12	352,309,332,351	142	243	0.189793676092044	0.65782770580923
4273	150,178,134,141	399,396,348,378	124,125,125,138	351,309,331,352	142	243	0.577145815447665	0.884719477951455
4274	3,1,1,1	25,23,24,27	0,0,0,1	17,15,18,19	147	183	0.0978743887113657	0.548136148638922
4275	254,197,206,256	11,6,5,11	191,171,199,193	6,7,6,6	237	183	0.794659924103091	0.967822190682999
4276	3,1,1,1	191,235,176,189	0,0,0,1	145,148,181,204	147	142	0.0442169499449174	0.456814246545221
4277	254,197,206,256	174,219,157,172	191,171,199,193	130,140,169,188	237	142	0.679976812279914	0.926878699755182
