IncLevel1	IncLevel2	IncLevelDifference
0.283,0.25,0.266,0.277	0.351,0.297,0.275,0.355	-0.05
0.366,0.4,0.399,0.39	0.401,0.336,0.384,0.443	-0.002
0.646,0.622,0.619,0.643	0.593,0.64,0.65,0.631	0.004
0.317,0.204,0.217,0.331	0.277,0.251,0.166,0.266	0.027
0.429,0.219,0.405,0.265	0.438,0.242,0.205,0.417	0.004
0.431,0.389,0.434,0.411	0.36,0.43,0.338,0.391	0.036
0.68,0.593,0.637,0.533	0.491,0.598,0.492,0.584	0.07
0.661,0.526,0.672,0.61	0.509,0.601,0.587,0.551	0.055
0.0,0.0,0.0,0.323	0.0,0.0,0.0,0.263	0.015
0.0,0.0,0.0,0.458	0.0,0.0,0.0,1.0	-0.136
0.523,0.463,0.518,0.496	0.484,0.454,0.469,0.451	0.035
0.154,0.088,0.115,0.139	0.119,0.122,0.113,0.112	0.008
0.01,0.0,0.02,0.009	0.004,0.013,0.023,0.017	-0.005
0.021,0.023,0.018,0.045	0.055,0.024,0.044,0.048	-0.016
0.07,0.081,0.071,0.106	0.091,0.115,0.114,0.097	-0.022
0.0,0.0,0.0,0.0	0.022,0.0,0.0,0.0	-0.005
0.398,0.0,0.0,0.0	0.0,0.0,0.298,0.459	-0.09
0.473,0.335,0.412,0.499	0.448,0.406,0.477,0.485	-0.024
0.546,0.479,0.605,0.579	0.52,0.251,0.376,0.431	0.158
0.357,0.222,0.33,0.288	0.243,0.227,0.311,0.324	0.023
0.367,0.187,0.347,0.237	0.234,0.218,0.292,0.265	0.032
0.45,0.505,0.537,0.487	0.357,0.455,0.399,0.374	0.099
0.307,0.407,0.432,0.321	0.331,0.279,0.334,0.409	0.028
0.159,0.168,0.135,0.061	0.064,0.176,0.142,0.216	-0.019
0.348,0.187,0.286,0.338	0.252,0.323,0.333,0.265	-0.004
0.12,0.146,0.121,0.324	0.219,0.199,0.196,0.181	-0.021
0.266,0.392,0.267,0.221	0.404,0.275,0.419,0.26	-0.053
0.231,0.171,0.368,0.415	0.33,0.441,0.351,0.467	-0.101
0.363,0.411,0.489,0.318	0.456,0.516,0.567,0.551	-0.127
0.477,0.518,0.497,0.488	0.401,0.457,0.413,0.435	0.068
0.542,0.696,0.554,0.596	0.53,0.637,0.586,0.563	0.018
0.476,0.521,0.535,0.455	0.453,0.466,0.439,0.476	0.038
0.558,0.539,0.493,0.614	0.443,0.527,0.468,0.571	0.049
0.622,0.619,0.595,0.684	0.647,0.574,0.608,0.563	0.032
0.472,0.652,0.458,0.537	0.434,0.345,0.77,0.428	0.036
0.274,0.174,0.627,0.557	1.0,0.512,0.654,0.344	-0.219
0.465,0.397,0.464,0.458	0.474,0.461,0.425,0.509	-0.021
0.0,0.0,0.253,NA	NA,0.0,1.0,NA	-0.416
0.185,0.069,0.209,0.273	0.241,0.235,0.234,0.103	-0.019
0.046,0.046,0.034,0.055	0.041,0.085,0.047,0.096	-0.022
0.227,0.197,0.208,0.199	0.147,0.169,0.219,0.246	0.012
0.554,0.592,0.485,0.567	0.532,0.516,0.477,0.579	0.023
0.424,0.42,0.454,0.491	0.417,0.412,0.431,0.43	0.025
0.084,0.054,0.055,0.053	0.062,0.058,0.106,0.054	-0.008
0.16,0.151,0.112,0.133	0.174,0.15,0.159,0.153	-0.02
0.203,0.145,0.123,0.16	0.197,0.17,0.123,0.176	-0.009
0.196,0.153,0.12,0.152	0.168,0.188,0.121,0.16	-0.004
